Year,Member,Data
1941,1,-0.300638
1942,1,-0.212646
1943,1,-0.167706
1944,1,-0.137487
1945,1,-0.132861
1946,1,-0.189171
1947,1,-0.116986
1948,1,0.011484
1949,1,-0.152761
1950,1,-0.090666
1951,1,-0.084475
1952,1,-0.223810
1953,1,-0.158023
1954,1,-0.072067
1955,1,-0.083666
1956,1,-0.117296
1957,1,-0.116009
1958,1,-0.081420
1959,1,-0.047322
1960,1,0.002587
1961,1,-0.012717
1962,1,-0.058470
1963,1,-0.149284
1964,1,-0.331754
1965,1,-0.284009
1966,1,-0.354338
1967,1,-0.241888
1968,1,-0.125634
1969,1,-0.400465
1970,1,-0.316190
1971,1,-0.171267
1972,1,-0.039099
1973,1,-0.124251
1974,1,0.073839
1975,1,-0.008479
1976,1,-0.220937
1977,1,0.058301
1978,1,0.266413
1979,1,0.068210
1980,1,0.070922
1981,1,0.257652
1982,1,0.337957
1983,1,0.168589
1984,1,0.031997
1985,1,0.124169
1986,1,0.228039
1987,1,0.295005
1988,1,0.177119
1989,1,0.290994
1990,1,0.389576
1991,1,0.344883
1992,1,0.054485
1993,1,0.052616
1994,1,0.180097
1995,1,0.296144
1996,1,0.303970
1997,1,0.518289
1998,1,0.471516
1999,1,0.587422
2000,1,0.568955
2001,1,0.509133
2002,1,0.674922
2003,1,0.535497
2004,1,0.691724
2005,1,0.726565
2006,1,0.620253
2007,1,0.730620
2008,1,0.765826
2009,1,0.712796
2010,1,0.821103
2011,1,0.739205
2012,1,0.835609
2013,1,0.851358
2014,1,0.760284
2015,1,0.861431
2016,1,0.937528
2017,1,0.992372
2018,1,1.018982
2019,1,0.991186
2020,1,0.866408
1941,2,-0.147565
1942,2,-0.184963
1943,2,-0.256323
1944,2,-0.275550
1945,2,-0.277275
1946,2,-0.151463
1947,2,-0.178500
1948,2,-0.201290
1949,2,-0.203670
1950,2,-0.119488
1951,2,-0.150585
1952,2,-0.111554
1953,2,-0.270524
1954,2,-0.063654
1955,2,-0.136318
1956,2,-0.137391
1957,2,-0.162939
1958,2,-0.113236
1959,2,-0.153362
1960,2,-0.050820
1961,2,0.065885
1962,2,-0.201841
1963,2,-0.096166
1964,2,-0.281486
1965,2,-0.316506
1966,2,-0.245443
1967,2,-0.132584
1968,2,-0.113802
1969,2,-0.258893
1970,2,-0.178131
1971,2,-0.224842
1972,2,-0.162447
1973,2,-0.010103
1974,2,0.075480
1975,2,-0.096995
1976,2,0.079285
1977,2,0.172615
1978,2,0.127441
1979,2,0.190056
1980,2,0.265428
1981,2,0.232794
1982,2,0.342653
1983,2,-0.116877
1984,2,-0.013905
1985,2,-0.020110
1986,2,-0.021037
1987,2,0.143092
1988,2,0.229403
1989,2,0.199046
1990,2,0.367990
1991,2,0.411363
1992,2,0.005441
1993,2,0.066155
1994,2,0.178618
1995,2,0.324645
1996,2,0.394519
1997,2,0.472960
1998,2,0.540937
1999,2,0.480046
2000,2,0.621135
2001,2,0.723022
2002,2,0.686932
2003,2,0.747911
2004,2,0.764248
2005,2,0.719577
2006,2,0.803779
2007,2,0.657364
2008,2,0.708416
2009,2,0.797452
2010,2,0.765652
2011,2,0.873428
2012,2,0.878126
2013,2,1.058619
2014,2,1.061593
2015,2,0.934921
2016,2,0.936953
2017,2,0.914085
2018,2,0.985146
2019,2,0.901699
2020,2,0.925549
1941,3,-0.023369
1942,3,-0.134959
1943,3,-0.111292
1944,3,-0.115350
1945,3,-0.138174
1946,3,-0.053802
1947,3,-0.093229
1948,3,-0.178887
1949,3,-0.116102
1950,3,-0.106474
1951,3,-0.023797
1952,3,-0.170500
1953,3,-0.106083
1954,3,-0.147900
1955,3,-0.187348
1956,3,-0.060376
1957,3,0.001949
1958,3,-0.112076
1959,3,-0.165494
1960,3,-0.058122
1961,3,-0.029596
1962,3,-0.044875
1963,3,-0.100751
1964,3,-0.210508
1965,3,-0.239457
1966,3,-0.313578
1967,3,-0.099054
1968,3,-0.075442
1969,3,-0.242826
1970,3,-0.206178
1971,3,-0.108257
1972,3,-0.041557
1973,3,0.073400
1974,3,-0.074759
1975,3,-0.014797
1976,3,-0.062392
1977,3,-0.063569
1978,3,0.029652
1979,3,0.106845
1980,3,0.186232
1981,3,0.074421
1982,3,0.111997
1983,3,0.006318
1984,3,-0.002428
1985,3,0.158571
1986,3,0.140638
1987,3,0.245649
1988,3,0.329947
1989,3,0.241019
1990,3,0.225334
1991,3,0.249384
1992,3,-0.174444
1993,3,-0.006476
1994,3,0.221912
1995,3,0.175440
1996,3,0.295413
1997,3,0.447032
1998,3,0.422307
1999,3,0.473922
2000,3,0.604937
2001,3,0.781318
2002,3,0.638880
2003,3,0.506625
2004,3,0.700655
2005,3,0.646201
2006,3,0.739208
2007,3,0.736933
2008,3,0.738504
2009,3,0.723521
2010,3,0.755610
2011,3,0.874459
2012,3,0.653508
2013,3,0.721413
2014,3,0.828060
2015,3,0.823059
2016,3,0.989208
2017,3,0.986571
2018,3,0.814597
2019,3,0.879233
2020,3,0.882343
1941,4,-0.130545
1942,4,-0.070482
1943,4,-0.161550
1944,4,-0.300321
1945,4,-0.195183
1946,4,-0.245898
1947,4,-0.214573
1948,4,-0.120175
1949,4,-0.275483
1950,4,-0.335323
1951,4,-0.282087
1952,4,-0.269967
1953,4,-0.218899
1954,4,-0.151159
1955,4,-0.053451
1956,4,-0.088240
1957,4,-0.151965
1958,4,-0.038712
1959,4,-0.011028
1960,4,-0.035243
1961,4,0.093240
1962,4,-0.004477
1963,4,-0.018998
1964,4,-0.392877
1965,4,-0.226126
1966,4,-0.219757
1967,4,-0.328559
1968,4,-0.277822
1969,4,-0.245205
1970,4,-0.210019
1971,4,-0.100681
1972,4,-0.075859
1973,4,-0.006367
1974,4,0.137016
1975,4,-0.007912
1976,4,-0.045467
1977,4,0.052115
1978,4,0.005507
1979,4,0.095004
1980,4,0.221826
1981,4,0.218472
1982,4,0.089859
1983,4,-0.101586
1984,4,-0.030706
1985,4,0.005974
1986,4,0.304337
1987,4,0.216480
1988,4,0.284990
1989,4,0.255677
1990,4,0.311921
1991,4,0.315111
1992,4,0.044924
1993,4,-0.026871
1994,4,0.219426
1995,4,0.195153
1996,4,0.363340
1997,4,0.486778
1998,4,0.370479
1999,4,0.462558
2000,4,0.542529
2001,4,0.430697
2002,4,0.568255
2003,4,0.645896
2004,4,0.693094
2005,4,0.525301
2006,4,0.631273
2007,4,0.798763
2008,4,0.613780
2009,4,0.743086
2010,4,0.850006
2011,4,0.890965
2012,4,0.833692
2013,4,0.991197
2014,4,0.956677
2015,4,0.876876
2016,4,0.969119
2017,4,0.896991
2018,4,1.090201
2019,4,1.050443
2020,4,1.096161
1941,5,-0.044334
1942,5,-0.046651
1943,5,0.053393
1944,5,-0.104396
1945,5,0.048133
1946,5,0.130279
1947,5,-0.088506
1948,5,-0.040012
1949,5,0.037303
1950,5,-0.025952
1951,5,-0.029860
1952,5,-0.135596
1953,5,-0.023264
1954,5,-0.073906
1955,5,-0.046954
1956,5,-0.086178
1957,5,0.019568
1958,5,-0.045797
1959,5,-0.048744
1960,5,0.047468
1961,5,0.046349
1962,5,-0.053796
1963,5,-0.030003
1964,5,-0.086081
1965,5,-0.309079
1966,5,-0.260947
1967,5,-0.162905
1968,5,-0.155103
1969,5,-0.249818
1970,5,-0.155036
1971,5,-0.086030
1972,5,0.087840
1973,5,0.031262
1974,5,-0.035525
1975,5,-0.059014
1976,5,-0.100847
1977,5,-0.035694
1978,5,0.060032
1979,5,0.081162
1980,5,0.076311
1981,5,0.145377
1982,5,0.126787
1983,5,-0.033986
1984,5,-0.123126
1985,5,0.101560
1986,5,0.009606
1987,5,0.077875
1988,5,0.283964
1989,5,0.507468
1990,5,0.301394
1991,5,0.258059
1992,5,0.022055
1993,5,0.193248
1994,5,0.269164
1995,5,0.352721
1996,5,0.315810
1997,5,0.509397
1998,5,0.503924
1999,5,0.637248
2000,5,0.578119
2001,5,0.716475
2002,5,0.735582
2003,5,0.593755
2004,5,0.662097
2005,5,0.788559
2006,5,0.860924
2007,5,0.843904
2008,5,0.837084
2009,5,0.857615
2010,5,0.844336
2011,5,0.719792
2012,5,0.836121
2013,5,0.990521
2014,5,1.053774
2015,5,0.918126
2016,5,1.090243
2017,5,1.063502
2018,5,0.911873
2019,5,0.957155
2020,5,1.004939
1941,6,-0.208791
1942,6,-0.090506
1943,6,-0.028229
1944,6,0.066997
1945,6,-0.029088
1946,6,-0.015478
1947,6,-0.051900
1948,6,-0.050525
1949,6,-0.005628
1950,6,-0.000607
1951,6,0.038656
1952,6,-0.027577
1953,6,-0.032709
1954,6,0.038430
