Year,Data
1940, 0.040000
1941, 0.100000
1942,-0.030000
1943, 0.000000
1944, 0.100000
1945, 0.000000
1946,-0.170000
1947,-0.120000
1948,-0.200000
1949,-0.210000
1950,-0.280000
1951,-0.170000
1952,-0.090000
1953,-0.010000
1954,-0.230000
1955,-0.240000
1956,-0.280000
1957,-0.050000
1958,-0.040000
1959,-0.070000
1960,-0.130000
1961,-0.040000
1962,-0.070000
1963,-0.040000
1964,-0.300000
1965,-0.210000
1966,-0.160000
1967,-0.120000
1968,-0.180000
1969,-0.050000
1970,-0.080000
1971,-0.180000
1972,-0.100000
1973, 0.070000
1974,-0.160000
1975,-0.120000
1976,-0.210000
1977, 0.080000
1978,-0.030000
1979, 0.060000
1980, 0.160000
1981, 0.230000
1982, 0.030000
1983, 0.210000
1984, 0.060000
1985, 0.010000
1986, 0.080000
1987, 0.220000
1988, 0.290000
1989, 0.170000
1990, 0.350000
1991, 0.310000
1992, 0.120000
1993, 0.130000
1994, 0.210000
1995, 0.350000
1996, 0.240000
1997, 0.360000
1998, 0.520000
1999, 0.280000
2000, 0.300000
2001, 0.440000
2002, 0.530000
2003, 0.530000
2004, 0.450000
2005, 0.580000
2006, 0.540000
2007, 0.570000
2008, 0.440000
2009, 0.560000
2010, 0.630000
2011, 0.510000
2012, 0.540000
2013, 0.590000
2014, 0.640000
2015, 0.790000
2016, 0.930000
2017, 0.830000
2018, 0.750000
