Year,Member,Data
1941,1,0.049165
1942,1,0.066747
1943,1,0.113569
1944,1,0.065941
1945,1,0.061096
1946,1,0.197318
1947,1,0.252019
1948,1,0.067578
1949,1,0.152135
1950,1,0.176249
1951,1,0.266721
1952,1,0.192816
1953,1,0.141050
1954,1,0.239703
1955,1,0.155685
1956,1,0.216030
1957,1,0.251024
1958,1,0.130617
1959,1,0.238884
1960,1,0.270024
1961,1,0.092521
1962,1,0.135527
1963,1,0.095620
1964,1,-0.249542
1965,1,-0.201726
1966,1,-0.190913
1967,1,-0.097677
1968,1,-0.135725
1969,1,-0.174552
1970,1,-0.079769
1971,1,-0.003719
1972,1,0.127906
1973,1,0.030223
1974,1,0.094747
1975,1,-0.020643
1976,1,-0.080966
1977,1,0.094115
1978,1,0.199604
1979,1,0.153414
1980,1,0.218996
1981,1,0.275227
1982,1,0.067133
1983,1,-0.134036
1984,1,-0.131541
1985,1,-0.139328
1986,1,-0.137658
1987,1,0.026918
1988,1,0.017338
1989,1,0.045662
1990,1,0.102844
1991,1,0.002829
1992,1,-0.485628
1993,1,-0.289276
1994,1,-0.287715
1995,1,-0.146891
1996,1,-0.062809
1997,1,-0.044857
1998,1,-0.145515
1999,1,0.037251
2000,1,-0.007645
2001,1,0.133495
2002,1,0.260517
2003,1,0.186333
2004,1,0.133480
2005,1,0.162214
2006,1,0.163111
2007,1,0.202621
2008,1,0.230310
2009,1,0.250859
2010,1,0.092955
2011,1,0.181881
2012,1,0.152627
2013,1,0.143086
2014,1,0.042324
2015,1,0.325912
2016,1,0.272247
2017,1,0.074877
2018,1,0.209960
2019,1,0.422011
2020,1,0.245375
1941,2,-0.015716
1942,2,0.071591
1943,2,0.081875
1944,2,0.054202
1945,2,0.138981
1946,2,0.015011
1947,2,0.160875
1948,2,0.243897
1949,2,0.154643
1950,2,0.121494
1951,2,0.238146
1952,2,0.205586
1953,2,0.145448
1954,2,0.205932
1955,2,0.219874
1956,2,0.163193
1957,2,0.291869
1958,2,0.071588
1959,2,0.183282
1960,2,0.309512
1961,2,0.162446
1962,2,0.167038
1963,2,0.218557
1964,2,0.006506
1965,2,0.009986
1966,2,0.071646
1967,2,0.135398
1968,2,-0.059388
1969,2,-0.100854
1970,2,0.060352
1971,2,-0.032320
1972,2,-0.153006
1973,2,0.056097
1974,2,0.018456
1975,2,-0.030173
1976,2,-0.133090
1977,2,-0.042870
1978,2,0.072395
1979,2,0.157169
1980,2,0.037212
1981,2,0.066241
1982,2,0.089229
1983,2,-0.339807
1984,2,-0.301248
1985,2,-0.155805
1986,2,-0.108859
1987,2,-0.096258
1988,2,-0.022914
1989,2,0.077580
1990,2,0.170283
1991,2,0.031990
1992,2,-0.547502
1993,2,-0.333984
1994,2,-0.169557
1995,2,-0.162226
1996,2,-0.041028
1997,2,0.134811
1998,2,0.077839
1999,2,0.145625
2000,2,0.129841
2001,2,0.068584
2002,2,0.276052
2003,2,0.329764
2004,2,0.088940
2005,2,0.212452
2006,2,0.079596
2007,2,0.012290
2008,2,0.081199
2009,2,0.160393
2010,2,0.030570
2011,2,0.052648
2012,2,0.096934
2013,2,0.028765
2014,2,0.144703
2015,2,0.220958
2016,2,0.398295
2017,2,0.241884
2018,2,0.202940
2019,2,0.251673
2020,2,0.165495
1941,3,0.112894
1942,3,0.090065
1943,3,0.198952
1944,3,0.040255
1945,3,-0.020789
1946,3,0.044850
1947,3,0.133996
1948,3,0.291600
1949,3,0.267850
1950,3,0.148282
1951,3,0.071377
1952,3,0.243085
1953,3,0.208710
1954,3,0.178787
1955,3,0.348806
1956,3,0.204745
1957,3,0.201376
1958,3,0.227986
1959,3,0.194752
1960,3,0.202829
1961,3,0.179945
1962,3,0.187944
1963,3,0.169477
1964,3,-0.129246
1965,3,-0.270710
1966,3,0.009161
1967,3,0.044278
1968,3,-0.218967
1969,3,-0.177546
1970,3,-0.093388
1971,3,-0.084637
