Year,Member,Data
1941,1,84
1942,1,87
1943,1,81
1944,1,77
1945,1,83
1946,1,87
1947,1,84
1948,1,79
1949,1,83
1950,1,83
1951,1,78
1952,1,81
1953,1,97
1954,1,68
1955,1,83
1956,1,77
1957,1,89
1958,1,76
1959,1,70
1960,1,81
1961,1,88
1962,1,86
1963,1,79
1964,1,93
1965,1,87
1966,1,93
1967,1,90
1968,1,87
1969,1,88
1970,1,85
1971,1,87
1972,1,71
1973,1,87
1974,1,79
1975,1,77
1976,1,93
1977,1,66
1978,1,72
1979,1,92
1980,1,88
1981,1,75
1982,1,76
1983,1,74
1984,1,92
1985,1,89
1986,1,82
1987,1,97
1988,1,78
1989,1,75
1990,1,79
1991,1,76
1992,1,78
1993,1,89
1994,1,90
1995,1,103
1996,1,75
1997,1,69
1998,1,76
1999,1,87
2000,1,84
2001,1,93
2002,1,74
2003,1,89
2004,1,78
2005,1,77
2006,1,100
2007,1,74
2008,1,68
2009,1,102
2010,1,79
2011,1,79
2012,1,79
2013,1,72
2014,1,96
2015,1,74
2016,1,74
2017,1,100
2018,1,73
2019,1,81
2020,1,84
1941,2,86
1942,2,73
1943,2,91
1944,2,79
1945,2,72
1946,2,76
1947,2,82
1948,2,71
1949,2,82
1950,2,81
1951,2,85
1952,2,77
1953,2,82
1954,2,92
1955,2,80
1956,2,75
1957,2,95
1958,2,99
1959,2,81
1960,2,86
1961,2,76
1962,2,95
1963,2,92
1964,2,99
1965,2,85
1966,2,78
1967,2,69
1968,2,92
1969,2,91
1970,2,77
1971,2,71
1972,2,86
1973,2,62
1974,2,87
1975,2,101
1976,2,87
1977,2,81
1978,2,74
1979,2,93
1980,2,88
1981,2,85
1982,2,72
1983,2,82
1984,2,76
1985,2,69
1986,2,93
1987,2,74
1988,2,75
1989,2,81
1990,2,83
1991,2,89
1992,2,98
1993,2,73
1994,2,94
1995,2,70
1996,2,81
1997,2,93
1998,2,71
1999,2,92
2000,2,71
2001,2,76
2002,2,84
2003,2,74
2004,2,77
2005,2,75
2006,2,67
2007,2,75
2008,2,76
2009,2,82
2010,2,69
2011,2,66
2012,2,100
2013,2,74
2014,2,84
2015,2,78
2016,2,72
2017,2,77
2018,2,63
2019,2,86
2020,2,82
1941,3,86
1942,3,89
1943,3,73
1944,3,82
1945,3,84
1946,3,75
1947,3,97
1948,3,72
1949,3,72
1950,3,82
1951,3,77
1952,3,87
1953,3,86
1954,3,91
1955,3,85
1956,3,83
1957,3,76
1958,3,72
1959,3,78
1960,3,74
1961,3,77
1962,3,89
1963,3,75
1964,3,92
1965,3,92
1966,3,73
1967,3,83
1968,3,72
1969,3,97
1970,3,83
1971,3,69
1972,3,80
1973,3,73
1974,3,81
1975,3,91
1976,3,85
1977,3,83
1978,3,81
1979,3,75
1980,3,87
1981,3,96
1982,3,83
1983,3,77
1984,3,82
1985,3,82
1986,3,89
