Year,Member,Data
1941,1,-0.5467
1942,1,-0.1925
1943,1,0.2792
1944,1,0.7957
1945,1,1.2699
1946,1,1.6175
1947,1,1.7753
1948,1,1.7151
1949,1,1.4508
1950,1,1.0376
1951,1,0.5613
1952,1,0.1217
1953,1,-0.1876
1954,1,-0.2989
1955,1,-0.1846
1956,1,0.1364
1957,1,0.6016
1958,1,1.1176
1959,1,1.5780
1960,1,1.8853
1961,1,1.9702
1962,1,1.8048
1963,1,1.4083
1964,1,0.8421
1965,1,0.1973
1966,1,-0.4239
1967,1,-0.9278
1968,1,-1.2469
1969,1,-1.3507
1970,1,-1.2493
1971,1,-0.9878
1972,1,-0.6340
1973,1,-0.2630
1974,1,0.0591
1975,1,0.2877
1976,1,0.4062
1977,1,0.4256
1978,1,0.3778
1979,1,0.3041
1980,1,0.2430
1981,1,0.2196
1982,1,0.2391
1983,1,0.2872
1984,1,0.3349
1985,1,0.3484
1986,1,0.2997
1987,1,0.1766
1988,1,-0.0122
1989,1,-0.2373
1990,1,-0.4540
1991,1,-0.6129
1992,1,-0.6717
1993,1,-0.6068
1994,1,-0.4199
1995,1,-0.1397
1996,1,0.1829
1997,1,0.4853
1998,1,0.7063
1999,1,0.7997
2000,1,0.7444
2001,1,0.5489
2002,1,0.2500
2003,1,-0.0962
2004,1,-0.4261
2005,1,-0.6832
2006,1,-0.8299
2007,1,-0.8552
2008,1,-0.7762
2009,1,-0.6321
2010,1,-0.4740
2011,1,-0.3512
2012,1,-0.2985
2013,1,-0.3273
2014,1,-0.4227
2015,1,-0.5472
2016,1,-0.6510
2017,1,-0.6849
2018,1,-0.6154
2019,1,-0.4347
2020,1,-0.1666
1941,2,1.0474
1942,2,0.7599
1943,2,0.2870
1944,2,-0.2855
1945,2,-0.8565
1946,2,-1.3299
1947,2,-1.6333
1948,2,-1.7316
1949,2,-1.6316
1950,2,-1.3787
1951,2,-1.0448
1952,2,-0.7119
1953,2,-0.4533
1954,2,-0.3190
1955,2,-0.3254
1956,2,-0.4541
1957,2,-0.6584
1958,2,-0.8754
1959,2,-1.0421
1960,2,-1.1105
1961,2,-1.0582
1962,2,-0.8936
1963,2,-0.6523
1964,2,-0.3879
1965,2,-0.1580
1966,2,-0.0091
1967,2,0.0348
1968,2,-0.0205
1969,2,-0.1403
1970,2,-0.2688
1971,2,-0.3418
1972,2,-0.3024
1973,2,-0.1154
1974,2,0.2232
1975,2,0.6826
1976,2,1.2021
1977,2,1.7023
1978,2,2.1003
1979,2,2.3273
1980,2,2.3418
1981,2,2.1387
1982,2,1.7507
1983,2,1.2420
1984,2,0.6957
1985,2,0.1983
1986,2,-0.1768
1987,2,-0.3817
1988,2,-0.4016
1989,2,-0.2553
1990,2,0.0113
1991,2,0.3359
1992,2,0.6540
1993,2,0.9112
1994,2,1.0733
1995,2,1.1311
1996,2,1.0993
1997,2,1.0106
1998,2,0.9063
1999,2,0.8268
2000,2,0.8021
2001,2,0.8463
2002,2,0.9567
2003,2,1.1161
2004,2,1.2985
2005,2,1.4765
2006,2,1.6283
2007,2,1.7415
2008,2,1.8156
2009,2,1.8596
2010,2,1.8881
2011,2,1.9155
2012,2,1.9511
2013,2,1.9950
2014,2,2.0378
2015,2,2.0621
2016,2,2.0468
2017,2,1.9728
2018,2,1.8282
2019,2,1.6121
2020,2,1.3360
1941,3,0.0397
1942,3,0.2689
1943,3,0.5614
1944,3,0.8705
1945,3,1.1445
1946,3,1.3364
1947,3,1.4137
1948,3,1.3639
1949,3,1.1967
1950,3,0.9414
1951,3,0.6410
1952,3,0.3430
1953,3,0.0910
1954,3,-0.0832
1955,3,-0.1644
1956,3,-0.1550
1957,3,-0.0721
1958,3,0.0579
1959,3,0.2061
1960,3,0.3479
1961,3,0.4679
1962,3,0.5615
1963,3,0.6343
1964,3,0.6977
1965,3,0.7642
1966,3,0.8417
1967,3,0.9300
1968,3,1.0194
1969,3,1.0927
1970,3,1.1291
1971,3,1.1107
1972,3,1.0280
1973,3,0.8846
1974,3,0.6986
1975,3,0.5010
1976,3,0.3298
1977,3,0.2228
1978,3,0.2090
1979,3,0.3010
1980,3,0.4910
1981,3,0.7502
1982,3,1.0330
1983,3,1.2853
1984,3,1.4549
1985,3,1.5018
1986,3,1.4077
1987,3,1.1806
1988,3,0.8548
1989,3,0.4858
1990,3,0.1405
1991,3,-0.1147
1992,3,-0.2264
1993,3,-0.1644
1994,3,0.0723
1995,3,0.4551
1996,3,0.9300
1997,3,1.4274
1998,3,1.8741
1999,3,2.2056
2000,3,2.3768
2001,3,2.3691
2002,3,2.1922
2003,3,1.8810
2004,3,1.4887
2005,3,1.0767
2006,3,0.7045
2007,3,0.4200
2008,3,0.2535
2009,3,0.2148
2010,3,0.2944
2011,3,0.4675
2012,3,0.7001
2013,3,0.9558
2014,3,1.2011
2015,3,1.4100
2016,3,1.5653
2017,3,1.6586
2018,3,1.6887
2019,3,1.6590
2020,3,1.5754
1941,4,1.7517
1942,4,1.3771
1943,4,0.9796
1944,4,0.5891
1945,4,0.2236
1946,4,-0.1098
1947,4,-0.4116
1948,4,-0.6849
1949,4,-0.9293
1950,4,-1.1370
1951,4,-1.2923
1952,4,-1.3727
1953,4,-1.3550
1954,4,-1.2217
1955,4,-0.9678
1956,4,-0.6061
1957,4,-0.1686
1958,4,0.2962
1959,4,0.7297
1960,4,1.0736
1961,4,1.2798
1962,4,1.3206
1963,4,1.1947
1964,4,0.9287
1965,4,0.5730
1966,4,0.1931
1967,4,-0.1421
1968,4,-0.3734
