Year,Member,Data
1941,1,-1.0264
1942,1,-1.3492
1943,1,-1.6124
1944,1,-1.7546
1945,1,-1.7427
1946,1,-1.5794
1947,1,-1.3005
1948,1,-0.9643
1949,1,-0.6355
1950,1,-0.3682
1951,1,-0.1918
1952,1,-0.1053
1953,1,-0.0788
1954,1,-0.0644
1955,1,-0.0114
1956,1,0.1168
1957,1,0.3305
1958,1,0.6079
1959,1,0.8991
1960,1,1.1377
1961,1,1.2584
1962,1,1.2152
1963,1,0.9958
1964,1,0.6283
1965,1,0.1772
1966,1,-0.2691
1967,1,-0.6177
1968,1,-0.7934
1969,1,-0.7560
1970,1,-0.5116
1971,1,-0.1118
1972,1,0.3563
1973,1,0.7899
1974,1,1.0927
1975,1,1.1962
1976,1,1.0753
1977,1,0.7526
1978,1,0.2928
1979,1,-0.2122
1980,1,-0.6642
1981,1,-0.9797
1982,1,-1.1073
1983,1,-1.0361
1984,1,-0.7953
1985,1,-0.4446
1986,1,-0.0580
1987,1,0.2932
1988,1,0.5560
1989,1,0.7051
1990,1,0.7439
1991,1,0.6990
1992,1,0.6095
1993,1,0.5141
1994,1,0.4404
1995,1,0.3992
1996,1,0.3846
1997,1,0.3798
1998,1,0.3657
1999,1,0.3312
2000,1,0.2789
2001,1,0.2270
2002,1,0.2046
2003,1,0.2430
2004,1,0.3644
2005,1,0.5722
2006,1,0.8461
2007,1,1.1432
2008,1,1.4062
2009,1,1.5776
2010,1,1.6141
2011,1,1.5004
2012,1,1.2559
2013,1,0.9337
2014,1,0.6103
2015,1,0.3687
2016,1,0.2784
2017,1,0.3772
2018,1,0.6597
2019,1,1.0750
2020,1,1.5356
1941,2,0.3500
1942,2,0.0472
1943,2,-0.2255
1944,2,-0.3869
1945,2,-0.3845
1946,2,-0.2077
1947,2,0.1100
1948,2,0.4981
1949,2,0.8659
1950,2,1.1245
1951,2,1.2083
1952,2,1.0915
1953,2,0.7957
1954,2,0.3860
1955,2,-0.0428
1956,2,-0.3873
1957,2,-0.5592
1958,2,-0.5050
1959,2,-0.2189
1960,2,0.2551
1961,2,0.8323
1962,2,1.4054
1963,2,1.8668
1964,2,2.1311
1965,2,2.1520
1966,2,1.9305
1967,2,1.5125
1968,2,0.9771
1969,2,0.4186
1970,2,-0.0738
1971,2,-0.4337
1972,2,-0.6287
1973,2,-0.6636
1974,2,-0.5746
1975,2,-0.4172
1976,2,-0.2514
1977,2,-0.1268
1978,2,-0.0726
1979,2,-0.0931
1980,2,-0.1707
1981,2,-0.2734
1982,2,-0.3653
1983,2,-0.4174
1984,2,-0.4145
1985,2,-0.3574
1986,2,-0.2608
1987,2,-0.1460
1988,2,-0.0326
1989,2,0.0688
1990,2,0.1608
1991,2,0.2590
1992,2,0.3866
1993,2,0.5661
1994,2,0.8099
1995,2,1.1129
1996,2,1.4486
1997,2,1.7716
1998,2,2.0242
1999,2,2.1482
2000,2,2.0971
2001,2,1.8473
2002,2,1.4051
2003,2,0.8080
2004,2,0.1191
2005,2,-0.5823
2006,2,-1.2149
2007,2,-1.7078
2008,2,-2.0122
2009,2,-2.1073
2010,2,-2.0016
2011,2,-1.7284
2012,2,-1.3387
2013,2,-0.8914
2014,2,-0.4445
2015,2,-0.0482
2016,2,0.2598
2017,2,0.4547
2018,2,0.5248
2019,2,0.4694
2020,2,0.2976
1941,3,-0.2911
1942,3,-0.1508
1943,3,0.0676
1944,3,0.3922
1945,3,0.8198
1946,3,1.3128
1947,3,1.8068
1948,3,2.2245
1949,3,2.4950
1950,3,2.5710
1951,3,2.4423
1952,3,2.1390
1953,3,1.7258
1954,3,1.2873
1955,3,0.9080
1956,3,0.6524
1957,3,0.5498
1958,3,0.5877
1959,3,0.7160
1960,3,0.8603
1961,3,0.9422
1962,3,0.9005
1963,3,0.7079
1964,3,0.3802
1965,3,-0.0264
1966,3,-0.4276
1967,3,-0.7318
1968,3,-0.8625
1969,3,-0.7786
1970,3,-0.4858
1971,3,-0.0377
1972,3,0.4753
1973,3,0.9461
1974,3,1.2746
1975,3,1.3914
1976,3,1.2732
1977,3,0.9489
1978,3,0.4926
1979,3,0.0065
1980,3,-0.4021
1981,3,-0.6456
1982,3,-0.6754
1983,3,-0.4919
1984,3,-0.1430
1985,3,0.2875
1986,3,0.7008
1987,3,1.0053
1988,3,1.1378
1989,3,1.0760
1990,3,0.8418
1991,3,0.4942
1992,3,0.1140
1993,3,-0.2165
1994,3,-0.4317
1995,3,-0.4971
1996,3,-0.4150
1997,3,-0.2210
1998,3,0.0267
1999,3,0.2626
2000,3,0.4302
2001,3,0.4937
2002,3,0.4449
2003,3,0.3018
2004,3,0.1015
2005,3,-0.1111
2006,3,-0.2953
2007,3,-0.4239
2008,3,-0.4872
2009,3,-0.4929
2010,3,-0.4597
2011,3,-0.4093
2012,3,-0.3585
2013,3,-0.3141
2014,3,-0.2715
2015,3,-0.2186
2016,3,-0.1424
2017,3,-0.0365
2018,3,0.0926
2019,3,0.2242
2020,3,0.3260
1941,4,-0.0819
1942,4,0.4646
1943,4,0.9692
1944,4,1.3554
1945,4,1.5701
1946,4,1.5959
1947,4,1.4534
1948,4,1.1963
1949,4,0.8980
1950,4,0.6343
1951,4,0.4661
1952,4,0.4257
