Longitude,Latitude,Trend,P-Value
2.5000,-87.5000,0.00000e+00,9.99000e+33
2.5000,-82.5000,0.00000e+00,9.99000e+33
2.5000,-77.5000,0.00000e+00,9.99000e+33
2.5000,-72.5000,0.00000e+00,9.99000e+33
2.5000,-67.5000,0.00000e+00,9.99000e+33
2.5000,-62.5000,0.00000e+00,9.99000e+33
2.5000,-57.5000,0.00000e+00,9.99000e+33
2.5000,-52.5000,0.00000e+00,9.99000e+33
2.5000,-47.5000,0.00000e+00,9.99000e+33
2.5000,-42.5000,-2.26252e-06,7.73609e-01
2.5000,-37.5000,-9.05009e-06,7.73609e-01
2.5000,-32.5000,-9.31591e-06,8.31221e-01
2.5000,-27.5000,-1.20237e-05,7.48713e-01
2.5000,-22.5000,3.78474e-05,7.26058e-01
2.5000,-17.5000,1.46163e-04,9.80701e-01
2.5000,-12.5000,-6.70730e-05,7.62347e-01
2.5000,-7.5000,-3.81842e-04,4.67932e-01
2.5000,-2.5000,-2.26019e-04,3.72348e-01
2.5000,2.5000,-1.00706e-05,6.95857e-01
2.5000,7.5000,-4.96846e-06,8.13933e-01
2.5000,12.5000,-9.93691e-06,8.13933e-01
2.5000,17.5000,-4.96846e-06,8.13933e-01
2.5000,22.5000,0.00000e+00,9.99000e+33
2.5000,27.5000,0.00000e+00,9.99000e+33
2.5000,32.5000,-1.55347e-06,6.20802e-01
2.5000,37.5000,-6.78759e-06,7.30373e-01
2.5000,42.5000,-8.91478e-06,7.47184e-01
2.5000,47.5000,-3.68066e-06,9.28216e-01
2.5000,52.5000,0.00000e+00,9.99000e+33
2.5000,57.5000,0.00000e+00,9.99000e+33
2.5000,62.5000,9.93648e-06,7.86988e-01
2.5000,67.5000,1.98730e-05,7.86988e-01
2.5000,72.5000,9.93648e-06,7.86988e-01
2.5000,77.5000,0.00000e+00,9.99000e+33
2.5000,82.5000,0.00000e+00,9.99000e+33
2.5000,87.5000,0.00000e+00,9.99000e+33
7.5000,-87.5000,0.00000e+00,9.99000e+33
7.5000,-82.5000,0.00000e+00,9.99000e+33
7.5000,-77.5000,0.00000e+00,9.99000e+33
7.5000,-72.5000,-1.73018e-06,8.27490e-01
7.5000,-67.5000,-3.46035e-06,8.27490e-01
7.5000,-62.5000,-1.73018e-06,8.27490e-01
7.5000,-57.5000,0.00000e+00,9.99000e+33
7.5000,-52.5000,0.00000e+00,9.99000e+33
7.5000,-47.5000,0.00000e+00,9.99000e+33
7.5000,-42.5000,-1.13126e-05,7.73609e-01
7.5000,-37.5000,-3.16753e-05,7.73609e-01
