Longitude,Latitude,Trend,P-Value
2.5000,-87.5000,0.00000e+00,9.99000e+33
2.5000,-82.5000,0.00000e+00,9.99000e+33
2.5000,-77.5000,0.00000e+00,9.99000e+33
2.5000,-72.5000,0.00000e+00,9.99000e+33
2.5000,-67.5000,0.00000e+00,9.99000e+33
2.5000,-62.5000,0.00000e+00,9.99000e+33
2.5000,-57.5000,0.00000e+00,9.99000e+33
2.5000,-52.5000,0.00000e+00,9.99000e+33
2.5000,-47.5000,0.00000e+00,9.99000e+33
2.5000,-42.5000,0.00000e+00,9.99000e+33
2.5000,-37.5000,0.00000e+00,9.99000e+33
2.5000,-32.5000,0.00000e+00,9.99000e+33
2.5000,-27.5000,5.43642e-05,2.48627e-01
2.5000,-22.5000,-1.12489e-04,5.29786e-01
2.5000,-17.5000,1.08764e-05,9.42148e-01
2.5000,-12.5000,9.03587e-04,3.70674e-01
2.5000,-7.5000,1.00851e-03,2.08343e-01
2.5000,-2.5000,2.38401e-04,4.75500e-01
2.5000,2.5000,-6.29871e-05,8.22035e-01
2.5000,7.5000,-2.06080e-05,9.15132e-01
2.5000,12.5000,1.49802e-05,9.15132e-01
2.5000,17.5000,1.68562e-05,8.41099e-01
2.5000,22.5000,0.00000e+00,9.99000e+33
2.5000,27.5000,0.00000e+00,9.99000e+33
2.5000,32.5000,4.92516e-05,5.40385e-01
2.5000,37.5000,1.17937e-04,3.96395e-01
2.5000,42.5000,8.81191e-05,3.27860e-01
2.5000,47.5000,1.94337e-05,8.61104e-01
2.5000,52.5000,0.00000e+00,9.99000e+33
2.5000,57.5000,0.00000e+00,9.99000e+33
2.5000,62.5000,0.00000e+00,9.99000e+33
2.5000,67.5000,0.00000e+00,9.99000e+33
2.5000,72.5000,0.00000e+00,9.99000e+33
2.5000,77.5000,0.00000e+00,9.99000e+33
2.5000,82.5000,0.00000e+00,9.99000e+33
2.5000,87.5000,0.00000e+00,9.99000e+33
7.5000,-87.5000,0.00000e+00,9.99000e+33
7.5000,-82.5000,0.00000e+00,9.99000e+33
7.5000,-77.5000,0.00000e+00,9.99000e+33
7.5000,-72.5000,0.00000e+00,9.99000e+33
7.5000,-67.5000,0.00000e+00,9.99000e+33
7.5000,-62.5000,0.00000e+00,9.99000e+33
7.5000,-57.5000,0.00000e+00,9.99000e+33
7.5000,-52.5000,0.00000e+00,9.99000e+33
7.5000,-47.5000,-7.02454e-07,9.37469e-01
7.5000,-42.5000,3.93262e-06,9.71663e-01
7.5000,-37.5000,9.97260e-06,9.71663e-01
