Longitude,Latitude,SVD1_SST,SVD1_TCF
2.5000,-87.5000,0.00000,0.00000
2.5000,-82.5000,0.00000,0.00000
2.5000,-77.5000,0.00000,0.00000
2.5000,-72.5000,0.00000,0.00000
2.5000,-67.5000,-0.02111,0.00000
2.5000,-62.5000,-0.03459,0.00000
2.5000,-57.5000,-0.01364,0.00000
2.5000,-52.5000,0.03261,0.00000
2.5000,-47.5000,0.04807,0.00000
2.5000,-42.5000,0.06877,0.00000
2.5000,-37.5000,0.05584,0.00000
2.5000,-32.5000,0.01859,0.00000
2.5000,-27.5000,-0.00744,0.00000
2.5000,-22.5000,0.00591,0.00000
2.5000,-17.5000,0.04793,0.00000
2.5000,-12.5000,0.13380,0.00000
2.5000,-7.5000,0.17949,0.00000
2.5000,-2.5000,0.22551,0.00000
2.5000,2.5000,0.16562,0.00000
2.5000,7.5000,0.00000,0.00000
2.5000,12.5000,0.00000,0.00000
2.5000,17.5000,0.00000,0.00000
2.5000,22.5000,0.00000,0.00000
2.5000,27.5000,0.00000,0.00000
2.5000,32.5000,0.00000,0.00000
2.5000,37.5000,0.15851,0.00000
2.5000,42.5000,0.00000,0.00000
2.5000,47.5000,0.00000,0.00000
2.5000,52.5000,0.27370,0.00000
2.5000,57.5000,0.20319,0.00000
2.5000,62.5000,0.16092,0.00000
2.5000,67.5000,0.21211,0.00000
2.5000,72.5000,0.12699,0.00000
2.5000,77.5000,0.04012,0.00000
2.5000,82.5000,-0.08360,0.00000
2.5000,87.5000,-0.01225,0.00000
7.5000,-87.5000,0.00000,0.00000
7.5000,-82.5000,0.00000,0.00000
7.5000,-77.5000,0.00000,0.00000
7.5000,-72.5000,0.00000,0.00000
7.5000,-67.5000,-0.01768,0.00000
7.5000,-62.5000,-0.04189,0.00000
7.5000,-57.5000,-0.02307,0.00000
7.5000,-52.5000,0.02889,0.00000
7.5000,-47.5000,0.03761,0.00000
7.5000,-42.5000,0.09938,0.00000
7.5000,-37.5000,0.08941,0.00000
7.5000,-32.5000,0.00038,0.00000
7.5000,-27.5000,-0.00441,0.00000
7.5000,-22.5000,0.01194,0.00000
7.5000,-17.5000,0.13816,0.00000
7.5000,-12.5000,0.20918,0.00000
7.5000,-7.5000,0.20710,0.00000
7.5000,-2.5000,0.21259,0.00000
7.5000,2.5000,0.12990,0.00000
7.5000,7.5000,0.00000,0.00000
7.5000,12.5000,0.00000,0.00000
7.5000,17.5000,0.00000,0.00000
7.5000,22.5000,0.00000,0.00000
7.5000,27.5000,0.00000,0.00000
7.5000,32.5000,0.00000,0.00000
7.5000,37.5000,0.11432,0.00000
7.5000,42.5000,0.15030,0.00000
7.5000,47.5000,0.00000,0.00000
7.5000,52.5000,0.00000,0.00000
7.5000,57.5000,0.24327,0.00000
7.5000,62.5000,0.00000,0.00000
7.5000,67.5000,0.23078,0.00000
7.5000,72.5000,0.13318,0.00000
7.5000,77.5000,0.10653,0.00000
7.5000,82.5000,-0.04143,0.00000
7.5000,87.5000,-0.01492,0.00000
12.5000,-87.5000,0.00000,0.00000
12.5000,-82.5000,0.00000,0.00000
12.5000,-77.5000,0.00000,0.00000
12.5000,-72.5000,0.00000,0.00000
12.5000,-67.5000,-0.02332,0.00000
12.5000,-62.5000,-0.03639,0.00000
12.5000,-57.5000,-0.02657,0.00000
12.5000,-52.5000,0.01596,0.00000
12.5000,-47.5000,0.04027,0.00000
12.5000,-42.5000,0.14800,0.00000
12.5000,-37.5000,0.06270,0.00000
12.5000,-32.5000,-0.01926,0.00000
12.5000,-27.5000,-0.05142,0.00000
12.5000,-22.5000,0.04394,0.00000
12.5000,-17.5000,0.00000,0.00000
12.5000,-12.5000,0.34762,0.00000
12.5000,-7.5000,0.29133,0.00000
12.5000,-2.5000,0.00000,0.00000
12.5000,2.5000,0.00000,0.00000
12.5000,7.5000,0.00000,0.00000
12.5000,12.5000,0.00000,0.00000
12.5000,17.5000,0.00000,0.00000
12.5000,22.5000,0.00000,0.00000
12.5000,27.5000,0.00000,0.00000
12.5000,32.5000,0.00000,0.00000
12.5000,37.5000,0.00000,0.00000
12.5000,42.5000,0.00000,0.00000
12.5000,47.5000,0.00000,0.00000
12.5000,52.5000,0.00000,0.00000
12.5000,57.5000,0.00000,0.00000
12.5000,62.5000,0.00000,0.00000
12.5000,67.5000,0.18963,0.00000
12.5000,72.5000,0.15839,0.00000
12.5000,77.5000,0.13598,0.00000
12.5000,82.5000,0.03400,0.00000
12.5000,87.5000,-0.01093,0.00000
17.5000,-87.5000,0.00000,0.00000
17.5000,-82.5000,0.00000,0.00000
17.5000,-77.5000,0.00000,0.00000
17.5000,-72.5000,0.00000,0.00000
17.5000,-67.5000,-0.03963,0.00000
17.5000,-62.5000,-0.03433,0.00000
17.5000,-57.5000,-0.02264,0.00000
17.5000,-52.5000,0.00730,0.00000
17.5000,-47.5000,0.06575,0.00000
17.5000,-42.5000,0.13770,0.00000
17.5000,-37.5000,0.02493,0.00000
17.5000,-32.5000,-0.10878,0.00000
17.5000,-27.5000,0.00000,0.00000
17.5000,-22.5000,0.00000,0.00000
17.5000,-17.5000,0.00000,0.00000
17.5000,-12.5000,0.00000,0.00000
17.5000,-7.5000,0.00000,0.00000
17.5000,-2.5000,0.00000,0.00000
17.5000,2.5000,0.00000,0.00000
17.5000,7.5000,0.00000,0.00000
17.5000,12.5000,0.00000,0.00000
17.5000,17.5000,0.00000,0.00000
17.5000,22.5000,0.00000,0.00000
17.5000,27.5000,0.00000,0.00000
17.5000,32.5000,0.11371,0.00000
17.5000,37.5000,0.12899,0.00000
17.5000,42.5000,0.11596,0.00000
17.5000,47.5000,0.00000,0.00000
17.5000,52.5000,0.00000,0.00000
17.5000,57.5000,0.23197,0.00000
17.5000,62.5000,0.00000,0.00000
17.5000,67.5000,0.00000,0.00000
17.5000,72.5000,0.16456,0.00000
17.5000,77.5000,0.00000,0.00000
17.5000,82.5000,0.07167,0.00000
17.5000,87.5000,0.00287,0.00000
22.5000,-87.5000,0.00000,0.00000
22.5000,-82.5000,0.00000,0.00000
22.5000,-77.5000,0.00000,0.00000
22.5000,-72.5000,0.00000,0.00000
22.5000,-67.5000,-0.03186,0.00000
22.5000,-62.5000,-0.03221,0.00000
22.5000,-57.5000,-0.04138,0.00000
22.5000,-52.5000,-0.03452,0.00000
22.5000,-47.5000,0.02781,0.00000
22.5000,-42.5000,0.09640,0.00000
22.5000,-37.5000,0.04762,0.00000
22.5000,-32.5000,0.00000,0.00000
22.5000,-27.5000,0.00000,0.00000
22.5000,-22.5000,0.00000,0.00000
22.5000,-17.5000,0.00000,0.00000
22.5000,-12.5000,0.00000,0.00000
22.5000,-7.5000,0.00000,0.00000
22.5000,-2.5000,0.00000,0.00000
22.5000,2.5000,0.00000,0.00000
22.5000,7.5000,0.00000,0.00000
22.5000,12.5000,0.00000,0.00000
22.5000,17.5000,0.00000,0.00000
22.5000,22.5000,0.00000,0.00000
22.5000,27.5000,0.00000,0.00000
22.5000,32.5000,0.00000,0.00000
22.5000,37.5000,0.00000,0.00000
22.5000,42.5000,0.00000,0.00000
22.5000,47.5000,0.00000,0.00000
22.5000,52.5000,0.00000,0.00000
22.5000,57.5000,0.22671,0.00000
