YEAR,EC1_SST,EC1_TCF,IPO,AMV
1980,-0.8048,0.0448,1.8199,-0.2860
1981,-0.4297,0.1771,1.9744,-0.2860
1982,-1.7253,-1.4225,1.8266,-1.7949
1983,-1.5551,-0.5702,1.4439,-0.9327
1984,-0.0418,-0.2103,0.9441,-1.7949
1985,-0.0466,0.0354,0.4654,-1.8668
1986,-1.1865,-1.0210,0.1324,-2.3697
1987,-1.3798,-0.8093,0.0256,-0.2860
1988,0.9340,0.4670,0.1629,-0.6452
1989,0.4625,-0.1626,0.4973,-0.9327
1990,-0.2884,-1.0477,0.9307,-1.0764
1991,-0.9530,-1.2538,1.3400,-1.7231
1992,-1.7052,-2.2296,1.6096,-1.7949
1993,-1.4747,-0.7434,1.6604,-1.7949
1994,-0.9972,-1.5453,1.4689,-1.8668
1995,-0.0493,1.1486,1.0716,0.1452
1996,0.1565,0.1023,0.5537,-0.5015
1997,-1.4983,-1.6917,0.0254,-0.2860
1998,0.3406,0.9306,-0.4073,1.2948
1999,1.7037,1.7807,-0.6707,1.0074
2000,1.0503,0.8522,-0.7411,0.1452
2001,0.8920,0.4496,-0.6495,0.4326
2002,-0.0885,-0.0134,-0.4710,-0.2860
2003,0.1191,0.3638,-0.3024,0.8637
2004,0.0084,-0.2688,-0.2341,0.7200
2005,0.4878,0.6712,-0.3233,1.5104
2006,0.4453,0.3621,-0.5775,1.5104
2007,1.1504,1.0051,-0.9505,1.0793
2008,1.4544,1.3487,-1.3534,1.5822
2009,0.1876,0.0984,-1.6785,-0.2860
2010,1.6334,1.9481,-1.8275,2.1571
2011,1.7533,1.2312,-1.7389,0.8637
2012,0.8743,0.6294,-1.4060,1.3667
2013,0.9333,0.5529,-0.8808,0.9356
2014,-0.1310,-0.1924,-0.2626,-0.0704
2015,-1.4066,-1.8367,0.3256,-0.6452
2016,0.0006,0.1766,0.7670,0.3607
2017,0.8307,1.2176,0.9804,0.9356
2018,0.3437,-0.5747,0.9393,-0.5015
