Longitude,Latitude,SVD1_SST,SVD1_TCF
2.5000,-87.5000,-0.00000,-0.00000
2.5000,-82.5000,-0.00000,-0.00000
2.5000,-77.5000,-0.00000,-0.00000
2.5000,-72.5000,-0.00000,-0.00000
2.5000,-67.5000,-0.03905,-0.00000
2.5000,-62.5000,-0.03173,-0.00000
2.5000,-57.5000,-0.03869,-0.00000
2.5000,-52.5000,-0.03636,-0.00000
2.5000,-47.5000,0.00420,-0.00000
2.5000,-42.5000,0.02188,-0.00000
2.5000,-37.5000,0.00033,-0.00000
2.5000,-32.5000,0.04311,-0.00000
2.5000,-27.5000,0.08840,-0.00000
2.5000,-22.5000,0.07569,-0.00000
2.5000,-17.5000,0.04236,-0.00000
2.5000,-12.5000,0.03785,-0.00000
2.5000,-7.5000,0.05924,-0.00000
2.5000,-2.5000,0.09615,-0.00000
2.5000,2.5000,0.14287,-0.00000
2.5000,7.5000,-0.00000,-0.00000
2.5000,12.5000,-0.00000,-0.00000
2.5000,17.5000,-0.00000,-0.00000
2.5000,22.5000,-0.00000,-0.00000
2.5000,27.5000,-0.00000,-0.00000
2.5000,32.5000,-0.00000,-0.00000
2.5000,37.5000,0.30053,-0.00000
2.5000,42.5000,-0.00000,-0.00000
2.5000,47.5000,-0.00000,-0.00000
2.5000,52.5000,0.41334,-0.00000
2.5000,57.5000,0.30574,-0.00000
2.5000,62.5000,0.22854,-0.00000
2.5000,67.5000,0.33837,-0.00000
2.5000,72.5000,0.31489,-0.00000
2.5000,77.5000,0.12941,-0.00000
2.5000,82.5000,-0.11918,-0.00000
2.5000,87.5000,-0.01220,-0.00000
7.5000,-87.5000,-0.00000,-0.00000
7.5000,-82.5000,-0.00000,-0.00000
7.5000,-77.5000,-0.00000,-0.00000
7.5000,-72.5000,-0.00000,-0.00000
7.5000,-67.5000,-0.02743,-0.00000
7.5000,-62.5000,-0.04054,-0.00000
7.5000,-57.5000,-0.03196,-0.00000
7.5000,-52.5000,-0.01580,-0.00000
7.5000,-47.5000,-0.04670,-0.00000
7.5000,-42.5000,-0.02662,-0.00000
7.5000,-37.5000,-0.00899,-0.00000
7.5000,-32.5000,0.05269,-0.00000
7.5000,-27.5000,0.07679,-0.00000
7.5000,-22.5000,0.03787,-0.00000
7.5000,-17.5000,0.07745,-0.00000
7.5000,-12.5000,0.12227,-0.00000
7.5000,-7.5000,0.11248,-0.00000
7.5000,-2.5000,0.12134,-0.00000
7.5000,2.5000,0.12958,-0.00000
7.5000,7.5000,-0.00000,-0.00000
7.5000,12.5000,-0.00000,-0.00000
7.5000,17.5000,-0.00000,-0.00000
7.5000,22.5000,-0.00000,-0.00000
7.5000,27.5000,-0.00000,-0.00000
7.5000,32.5000,-0.00000,-0.00000
7.5000,37.5000,0.29051,-0.00000
7.5000,42.5000,0.37448,-0.00000
7.5000,47.5000,-0.00000,-0.00000
7.5000,52.5000,-0.00000,-0.00000
7.5000,57.5000,0.36260,-0.00000
7.5000,62.5000,-0.00000,-0.00000
7.5000,67.5000,0.34791,-0.00000
7.5000,72.5000,0.30197,-0.00000
7.5000,77.5000,0.24689,-0.00000
7.5000,82.5000,-0.06597,-0.00000
7.5000,87.5000,-0.01720,-0.00000
12.5000,-87.5000,-0.00000,-0.00000
12.5000,-82.5000,-0.00000,-0.00000
12.5000,-77.5000,-0.00000,-0.00000
12.5000,-72.5000,-0.00000,-0.00000
12.5000,-67.5000,-0.02558,-0.00000
12.5000,-62.5000,-0.04074,-0.00000
12.5000,-57.5000,-0.03148,-0.00000
12.5000,-52.5000,-0.00353,-0.00000
12.5000,-47.5000,-0.00809,-0.00000
12.5000,-42.5000,0.04724,-0.00000
12.5000,-37.5000,0.02519,-0.00000
12.5000,-32.5000,0.03380,-0.00000
12.5000,-27.5000,-0.06797,-0.00000
12.5000,-22.5000,-0.03092,-0.00000
12.5000,-17.5000,-0.00000,-0.00000
12.5000,-12.5000,0.28998,-0.00000
12.5000,-7.5000,0.20210,-0.00000
12.5000,-2.5000,-0.00000,-0.00000
12.5000,2.5000,-0.00000,-0.00000
12.5000,7.5000,-0.00000,-0.00000
12.5000,12.5000,-0.00000,-0.00000
12.5000,17.5000,-0.00000,-0.00000
12.5000,22.5000,-0.00000,-0.00000
12.5000,27.5000,-0.00000,-0.00000
12.5000,32.5000,-0.00000,-0.00000
12.5000,37.5000,-0.00000,-0.00000
12.5000,42.5000,-0.00000,-0.00000
12.5000,47.5000,-0.00000,-0.00000
12.5000,52.5000,-0.00000,-0.00000
12.5000,57.5000,-0.00000,-0.00000
12.5000,62.5000,-0.00000,-0.00000
12.5000,67.5000,0.33014,-0.00000
12.5000,72.5000,0.32382,-0.00000
12.5000,77.5000,0.29883,-0.00000
12.5000,82.5000,0.03086,-0.00000
12.5000,87.5000,-0.00788,-0.00000
17.5000,-87.5000,-0.00000,-0.00000
17.5000,-82.5000,-0.00000,-0.00000
17.5000,-77.5000,-0.00000,-0.00000
17.5000,-72.5000,-0.00000,-0.00000
17.5000,-67.5000,-0.03347,-0.00000
17.5000,-62.5000,-0.03496,-0.00000
17.5000,-57.5000,-0.03086,-0.00000
17.5000,-52.5000,-0.01373,-0.00000
17.5000,-47.5000,0.05044,-0.00000
17.5000,-42.5000,0.13331,-0.00000
17.5000,-37.5000,0.07767,-0.00000
17.5000,-32.5000,-0.07379,-0.00000
17.5000,-27.5000,-0.00000,-0.00000
17.5000,-22.5000,-0.00000,-0.00000
17.5000,-17.5000,-0.00000,-0.00000
17.5000,-12.5000,-0.00000,-0.00000
17.5000,-7.5000,-0.00000,-0.00000
17.5000,-2.5000,-0.00000,-0.00000
17.5000,2.5000,-0.00000,-0.00000
17.5000,7.5000,-0.00000,-0.00000
17.5000,12.5000,-0.00000,-0.00000
17.5000,17.5000,-0.00000,-0.00000
17.5000,22.5000,-0.00000,-0.00000
17.5000,27.5000,-0.00000,-0.00000
17.5000,32.5000,0.21598,-0.00000
17.5000,37.5000,0.26621,-0.00000
17.5000,42.5000,0.27880,-0.00000
17.5000,47.5000,-0.00000,-0.00000
17.5000,52.5000,-0.00000,-0.00000
17.5000,57.5000,0.45562,-0.00000
17.5000,62.5000,-0.00000,-0.00000
17.5000,67.5000,-0.00000,-0.00000
17.5000,72.5000,0.33095,-0.00000
17.5000,77.5000,-0.00000,-0.00000
17.5000,82.5000,0.08077,-0.00000
17.5000,87.5000,-0.00304,-0.00000
22.5000,-87.5000,-0.00000,-0.00000
22.5000,-82.5000,-0.00000,-0.00000
22.5000,-77.5000,-0.00000,-0.00000
22.5000,-72.5000,-0.00000,-0.00000
22.5000,-67.5000,-0.01078,-0.00000
22.5000,-62.5000,-0.02965,-0.00000
22.5000,-57.5000,-0.05273,-0.00000
22.5000,-52.5000,-0.04812,-0.00000
22.5000,-47.5000,0.05154,-0.00000
22.5000,-42.5000,0.09149,-0.00000
22.5000,-37.5000,0.11818,-0.00000
22.5000,-32.5000,-0.00000,-0.00000
22.5000,-27.5000,-0.00000,-0.00000
22.5000,-22.5000,-0.00000,-0.00000
22.5000,-17.5000,-0.00000,-0.00000
22.5000,-12.5000,-0.00000,-0.00000
22.5000,-7.5000,-0.00000,-0.00000
22.5000,-2.5000,-0.00000,-0.00000
