Longitude,Latitude,SVD1_SST,SVD1_TCF
2.5000,-87.5000,0.00000,-0.00000
2.5000,-82.5000,0.00000,-0.00000
2.5000,-77.5000,0.00000,-0.00000
2.5000,-72.5000,0.00000,-0.00000
2.5000,-67.5000,0.03904,-0.00000
2.5000,-62.5000,0.01387,-0.00000
2.5000,-57.5000,0.04617,-0.00000
2.5000,-52.5000,0.11388,-0.00000
2.5000,-47.5000,0.18463,-0.00000
2.5000,-42.5000,0.24885,-0.00004
2.5000,-37.5000,0.22457,-0.00015
2.5000,-32.5000,0.16390,-0.00018
2.5000,-27.5000,0.14779,-0.00020
2.5000,-22.5000,0.17266,0.00076
2.5000,-17.5000,0.20388,0.00148
2.5000,-12.5000,0.23949,-0.00269
2.5000,-7.5000,0.25786,-0.00585
2.5000,-2.5000,0.25617,-0.00235
2.5000,2.5000,0.25760,0.00023
2.5000,7.5000,0.00000,-0.00005
2.5000,12.5000,0.00000,-0.00010
2.5000,17.5000,0.00000,-0.00005
2.5000,22.5000,0.00000,-0.00000
2.5000,27.5000,0.00000,-0.00000
2.5000,32.5000,0.00000,0.00017
2.5000,37.5000,0.33064,0.00031
2.5000,42.5000,0.00000,0.00012
2.5000,47.5000,0.00000,-0.00002
2.5000,52.5000,0.39192,-0.00000
2.5000,57.5000,0.37014,-0.00000
2.5000,62.5000,0.30280,0.00011
2.5000,67.5000,0.38496,0.00022
2.5000,72.5000,0.40698,0.00011
2.5000,77.5000,0.40641,-0.00000
2.5000,82.5000,0.10912,-0.00000
2.5000,87.5000,0.02735,-0.00000
7.5000,-87.5000,0.00000,-0.00000
7.5000,-82.5000,0.00000,-0.00000
7.5000,-77.5000,0.00000,-0.00000
7.5000,-72.5000,0.00000,-0.00002
7.5000,-67.5000,0.04478,-0.00003
7.5000,-62.5000,0.02677,-0.00002
7.5000,-57.5000,0.03922,-0.00000
7.5000,-52.5000,0.10223,-0.00000
7.5000,-47.5000,0.18235,-0.00000
7.5000,-42.5000,0.24341,-0.00019
7.5000,-37.5000,0.26567,-0.00052
7.5000,-32.5000,0.16629,-0.00046
7.5000,-27.5000,0.17285,0.00005
7.5000,-22.5000,0.18316,0.00265
7.5000,-17.5000,0.20725,0.00504
7.5000,-12.5000,0.24822,0.00050
7.5000,-7.5000,0.26754,-0.00444
7.5000,-2.5000,0.25806,-0.00249
7.5000,2.5000,0.25682,-0.00011
7.5000,7.5000,0.00000,-0.00003
7.5000,12.5000,0.00000,-0.00005
7.5000,17.5000,0.00000,-0.00003
7.5000,22.5000,0.00000,-0.00000
7.5000,27.5000,0.00000,-0.00029
7.5000,32.5000,0.00000,-0.00106
7.5000,37.5000,0.35294,-0.00123
7.5000,42.5000,0.35018,-0.00043
7.5000,47.5000,0.00000,0.00002
7.5000,52.5000,0.00000,-0.00000
7.5000,57.5000,0.41020,-0.00000
7.5000,62.5000,0.00000,0.00013
7.5000,67.5000,0.32452,0.00030
7.5000,72.5000,0.32936,0.00022
7.5000,77.5000,0.41621,0.00005
7.5000,82.5000,0.12482,-0.00000
7.5000,87.5000,0.03949,-0.00000
12.5000,-87.5000,0.00000,-0.00000
12.5000,-82.5000,0.00000,-0.00000
12.5000,-77.5000,0.00000,-0.00000
12.5000,-72.5000,0.00000,-0.00003
12.5000,-67.5000,0.04606,-0.00007
12.5000,-62.5000,0.03015,-0.00003
12.5000,-57.5000,0.03906,-0.00000
12.5000,-52.5000,0.09877,-0.00000
12.5000,-47.5000,0.21663,-0.00000
12.5000,-42.5000,0.24663,-0.00049
12.5000,-37.5000,0.27431,-0.00105
12.5000,-32.5000,0.20783,-0.00061
12.5000,-27.5000,0.17715,0.00008
12.5000,-22.5000,0.17190,0.00175
12.5000,-17.5000,0.00000,0.00346
12.5000,-12.5000,0.26187,0.00151
12.5000,-7.5000,0.27214,-0.00114
12.5000,-2.5000,0.00000,-0.00096
12.5000,2.5000,0.00000,-0.00015
12.5000,7.5000,0.00000,-0.00000
12.5000,12.5000,0.00000,-0.00000
12.5000,17.5000,0.00000,-0.00000
12.5000,22.5000,0.00000,-0.00000
12.5000,27.5000,0.00000,-0.00018
12.5000,32.5000,0.00000,-0.00016
12.5000,37.5000,0.00000,0.00045
12.5000,42.5000,0.00000,0.00064
12.5000,47.5000,0.00000,0.00022
12.5000,52.5000,0.00000,-0.00000
12.5000,57.5000,0.00000,-0.00000
12.5000,62.5000,0.00000,0.00005
12.5000,67.5000,0.35856,0.00024
12.5000,72.5000,0.32990,0.00033
12.5000,77.5000,0.41225,0.00014
12.5000,82.5000,0.17558,-0.00000
12.5000,87.5000,0.05652,-0.00000
17.5000,-87.5000,0.00000,-0.00000
17.5000,-82.5000,0.00000,-0.00000
17.5000,-77.5000,0.00000,-0.00000
17.5000,-72.5000,0.00000,-0.00005
17.5000,-67.5000,0.04842,-0.00010
17.5000,-62.5000,0.03528,-0.00005
17.5000,-57.5000,0.05825,-0.00000
17.5000,-52.5000,0.12121,-0.00000
17.5000,-47.5000,0.21276,-0.00000
17.5000,-42.5000,0.22694,-0.00134
17.5000,-37.5000,0.26937,-0.00268
17.5000,-32.5000,0.20037,-0.00136
17.5000,-27.5000,0.00000,-0.00004
17.5000,-22.5000,0.00000,0.00017
17.5000,-17.5000,0.00000,0.00045
17.5000,-12.5000,0.00000,0.00021
17.5000,-7.5000,0.00000,-0.00010
17.5000,-2.5000,0.00000,-0.00006
17.5000,2.5000,0.00000,-0.00000
17.5000,7.5000,0.00000,-0.00000
17.5000,12.5000,0.00000,-0.00000
17.5000,17.5000,0.00000,-0.00000
17.5000,22.5000,0.00000,-0.00000
17.5000,27.5000,0.00000,0.00095
17.5000,32.5000,0.36951,0.00273
17.5000,37.5000,0.38917,0.00292
17.5000,42.5000,0.39434,0.00147
17.5000,47.5000,0.00000,0.00033
17.5000,52.5000,0.00000,-0.00000
17.5000,57.5000,0.50696,-0.00000
17.5000,62.5000,0.00000,-0.00000
17.5000,67.5000,0.00000,0.00019
17.5000,72.5000,0.41417,0.00038
17.5000,77.5000,0.00000,0.00019
17.5000,82.5000,0.22668,-0.00000
17.5000,87.5000,0.07881,-0.00000
22.5000,-87.5000,0.00000,-0.00000
22.5000,-82.5000,0.00000,-0.00000
22.5000,-77.5000,0.00000,-0.00000
22.5000,-72.5000,0.00000,-0.00007
22.5000,-67.5000,0.05254,-0.00017
22.5000,-62.5000,0.03994,-0.00013
22.5000,-57.5000,0.07158,-0.00003
22.5000,-52.5000,0.13610,-0.00001
22.5000,-47.5000,0.16906,-0.00007
22.5000,-42.5000,0.26999,-0.00219
22.5000,-37.5000,0.26053,-0.00444
22.5000,-32.5000,0.00000,-0.00254
22.5000,-27.5000,0.00000,-0.00024
22.5000,-22.5000,0.00000,-0.00013
22.5000,-17.5000,0.00000,-0.00023
22.5000,-12.5000,0.00000,-0.00011
22.5000,-7.5000,0.00000,-0.00000
22.5000,-2.5000,0.00000,-0.00000
22.5000,2.5000,0.00000,-0.00000
22.5000,7.5000,0.00000,-0.00000
22.5000,12.5000,0.00000,-0.00000
22.5000,17.5000,0.00000,-0.00000
22.5000,22.5000,0.00000,-0.00000
22.5000,27.5000,0.00000,0.00194
22.5000,32.5000,0.00000,0.00404
