Longitude,Latitude,SVD1_SST,SVD1_TCF
2.5000,-87.5000,0.00000,-0.00000
2.5000,-82.5000,0.00000,-0.00000
2.5000,-77.5000,0.00000,-0.00000
2.5000,-72.5000,0.00000,-0.00000
2.5000,-67.5000,0.02264,-0.00000
2.5000,-62.5000,0.01769,-0.00000
2.5000,-57.5000,0.02999,-0.00000
2.5000,-52.5000,0.04325,-0.00000
2.5000,-47.5000,0.05088,-0.00000
2.5000,-42.5000,0.05836,-0.00000
2.5000,-37.5000,0.06202,-0.00000
2.5000,-32.5000,0.06635,-0.00000
2.5000,-27.5000,0.06539,0.00051
2.5000,-22.5000,0.06861,-0.00000
2.5000,-17.5000,0.08155,0.00231
2.5000,-12.5000,0.09905,0.00896
2.5000,-7.5000,0.11273,0.00847
2.5000,-2.5000,0.11599,0.00240
2.5000,2.5000,0.12359,-0.00025
2.5000,7.5000,0.00000,-0.00046
2.5000,12.5000,0.00000,0.00000
2.5000,17.5000,0.00000,0.00016
2.5000,22.5000,0.00000,-0.00000
2.5000,27.5000,0.00000,-0.00000
2.5000,32.5000,0.00000,0.00086
2.5000,37.5000,0.12337,0.00191
2.5000,42.5000,0.00000,0.00123
2.5000,47.5000,0.00000,0.00019
2.5000,52.5000,0.14582,-0.00000
2.5000,57.5000,0.13668,-0.00000
2.5000,62.5000,0.11146,-0.00000
2.5000,67.5000,0.15121,-0.00000
2.5000,72.5000,0.15175,-0.00000
2.5000,77.5000,0.09453,-0.00000
2.5000,82.5000,0.01142,-0.00000
2.5000,87.5000,0.00182,-0.00000
7.5000,-87.5000,0.00000,-0.00000
7.5000,-82.5000,0.00000,-0.00000
7.5000,-77.5000,0.00000,-0.00000
7.5000,-72.5000,0.00000,-0.00000
7.5000,-67.5000,0.02491,-0.00000
7.5000,-62.5000,0.01922,-0.00000
7.5000,-57.5000,0.02742,-0.00000
7.5000,-52.5000,0.03883,-0.00000
7.5000,-47.5000,0.05045,-0.00001
7.5000,-42.5000,0.05699,-0.00006
7.5000,-37.5000,0.05423,-0.00008
7.5000,-32.5000,0.06308,-0.00003
7.5000,-27.5000,0.06041,0.00076
7.5000,-22.5000,0.06433,0.00159
7.5000,-17.5000,0.08182,0.00415
7.5000,-12.5000,0.10218,0.00955
7.5000,-7.5000,0.11643,0.00928
7.5000,-2.5000,0.11478,0.00310
7.5000,2.5000,0.12101,-0.00010
7.5000,7.5000,0.00000,-0.00017
7.5000,12.5000,0.00000,-0.00004
7.5000,17.5000,0.00000,-0.00018
7.5000,22.5000,0.00000,-0.00016
7.5000,27.5000,0.00000,0.00008
7.5000,32.5000,0.00000,0.00178
7.5000,37.5000,0.12689,0.00379
7.5000,42.5000,0.11488,0.00255
7.5000,47.5000,0.00000,0.00048
7.5000,52.5000,0.00000,0.00001
7.5000,57.5000,0.15078,-0.00000
7.5000,62.5000,0.00000,-0.00000
7.5000,67.5000,0.12483,-0.00000
7.5000,72.5000,0.13741,-0.00000
7.5000,77.5000,0.15568,-0.00000
7.5000,82.5000,0.01691,-0.00000
7.5000,87.5000,0.00214,-0.00000
12.5000,-87.5000,0.00000,-0.00000
12.5000,-82.5000,0.00000,-0.00000
12.5000,-77.5000,0.00000,-0.00000
12.5000,-72.5000,0.00000,-0.00000
12.5000,-67.5000,0.02676,-0.00000
12.5000,-62.5000,0.02449,-0.00000
12.5000,-57.5000,0.02987,0.00000
12.5000,-52.5000,0.04014,0.00001
12.5000,-47.5000,0.05706,-0.00005
12.5000,-42.5000,0.05829,-0.00024
12.5000,-37.5000,0.05391,-0.00031
12.5000,-32.5000,0.05863,-0.00014
12.5000,-27.5000,0.04712,0.00033
12.5000,-22.5000,0.05439,0.00097
12.5000,-17.5000,0.00000,0.00107
12.5000,-12.5000,0.11210,0.00164
12.5000,-7.5000,0.11795,0.00232
12.5000,-2.5000,0.00000,0.00112
12.5000,2.5000,0.00000,0.00001
12.5000,7.5000,0.00000,-0.00005
12.5000,12.5000,0.00000,-0.00052
12.5000,17.5000,0.00000,-0.00091
12.5000,22.5000,0.00000,-0.00043
12.5000,27.5000,0.00000,0.00042
12.5000,32.5000,0.00000,0.00334
12.5000,37.5000,0.00000,0.00596
12.5000,42.5000,0.00000,0.00359
12.5000,47.5000,0.00000,0.00058
12.5000,52.5000,0.00000,0.00002
12.5000,57.5000,0.00000,-0.00000
12.5000,62.5000,0.00000,-0.00000
12.5000,67.5000,0.13125,-0.00000
12.5000,72.5000,0.14459,-0.00000
12.5000,77.5000,0.22590,-0.00000
12.5000,82.5000,0.01952,-0.00000
12.5000,87.5000,0.00376,-0.00000
17.5000,-87.5000,0.00000,-0.00000
17.5000,-82.5000,0.00000,-0.00000
17.5000,-77.5000,0.00000,-0.00000
17.5000,-72.5000,0.00000,-0.00000
17.5000,-67.5000,0.02926,-0.00000
17.5000,-62.5000,0.02907,-0.00000
17.5000,-57.5000,0.03285,0.00001
17.5000,-52.5000,0.04517,0.00002
17.5000,-47.5000,0.05494,-0.00016
17.5000,-42.5000,0.05827,-0.00074
17.5000,-37.5000,0.05859,-0.00104
17.5000,-32.5000,0.05802,-0.00057
17.5000,-27.5000,0.00000,-0.00010
17.5000,-22.5000,0.00000,-0.00006
17.5000,-17.5000,0.00000,-0.00069
17.5000,-12.5000,0.00000,-0.00130
17.5000,-7.5000,0.00000,-0.00078
17.5000,-2.5000,0.00000,-0.00011
17.5000,2.5000,0.00000,-0.00000
17.5000,7.5000,0.00000,-0.00025
17.5000,12.5000,0.00000,-0.00089
17.5000,17.5000,0.00000,-0.00101
17.5000,22.5000,0.00000,-0.00038
17.5000,27.5000,0.00000,0.00074
17.5000,32.5000,0.12515,0.00461
17.5000,37.5000,0.13071,0.00731
17.5000,42.5000,0.13146,0.00375
17.5000,47.5000,0.00000,0.00033
17.5000,52.5000,0.00000,0.00001
17.5000,57.5000,0.17586,-0.00000
17.5000,62.5000,0.00000,-0.00000
17.5000,67.5000,0.00000,-0.00000
17.5000,72.5000,0.20815,-0.00000
17.5000,77.5000,0.00000,-0.00000
17.5000,82.5000,0.02808,-0.00000
17.5000,87.5000,0.00775,-0.00000
22.5000,-87.5000,0.00000,-0.00000
22.5000,-82.5000,0.00000,-0.00000
22.5000,-77.5000,0.00000,-0.00000
22.5000,-72.5000,0.00000,-0.00000
22.5000,-67.5000,0.03248,-0.00000
22.5000,-62.5000,0.03350,-0.00000
22.5000,-57.5000,0.03454,0.00000
22.5000,-52.5000,0.04544,0.00001
22.5000,-47.5000,0.05244,-0.00023
22.5000,-42.5000,0.04345,-0.00094
22.5000,-37.5000,0.05794,-0.00122
22.5000,-32.5000,0.00000,-0.00061
22.5000,-27.5000,0.00000,-0.00015
22.5000,-22.5000,0.00000,-0.00023
22.5000,-17.5000,0.00000,-0.00028
22.5000,-12.5000,0.00000,-0.00011
22.5000,-7.5000,0.00000,-0.00000
22.5000,-2.5000,0.00000,-0.00000
22.5000,2.5000,0.00000,-0.00000
22.5000,7.5000,0.00000,-0.00022
22.5000,12.5000,0.00000,-0.00054
22.5000,17.5000,0.00000,-0.00043
22.5000,22.5000,0.00000,-0.00011
22.5000,27.5000,0.00000,0.00093
22.5000,32.5000,0.00000,0.00402
