Longitude,Latitude,SVD1_SST,SVD1_TCF
2.5000,-87.5000,0.00000,-0.00000
2.5000,-82.5000,0.00000,-0.00000
2.5000,-77.5000,0.00000,-0.00000
2.5000,-72.5000,0.00000,-0.00000
2.5000,-67.5000,0.11070,-0.00000
2.5000,-62.5000,0.09320,-0.00000
2.5000,-57.5000,0.15900,-0.00000
2.5000,-52.5000,0.32906,-0.00000
2.5000,-47.5000,0.47115,-0.00000
2.5000,-42.5000,0.58166,-0.00000
2.5000,-37.5000,0.62119,-0.00000
2.5000,-32.5000,0.45721,-0.00000
2.5000,-27.5000,0.45330,-0.00000
2.5000,-22.5000,0.44399,-0.00009
2.5000,-17.5000,0.45714,-0.01249
2.5000,-12.5000,0.51866,-0.02889
2.5000,-7.5000,0.55705,-0.02115
2.5000,-2.5000,0.55115,-0.00512
2.5000,2.5000,0.53480,-0.00047
2.5000,7.5000,0.00000,-0.00000
2.5000,12.5000,0.00000,-0.00000
2.5000,17.5000,0.00000,-0.00000
2.5000,22.5000,0.00000,-0.00000
2.5000,27.5000,0.00000,-0.00000
2.5000,32.5000,0.00000,0.00125
2.5000,37.5000,0.48455,0.00249
2.5000,42.5000,0.00000,0.00125
2.5000,47.5000,0.00000,-0.00000
2.5000,52.5000,0.54129,-0.00000
2.5000,57.5000,0.50097,-0.00000
2.5000,62.5000,0.40318,-0.00000
2.5000,67.5000,0.51811,-0.00000
2.5000,72.5000,0.77027,-0.00000
2.5000,77.5000,0.57643,-0.00000
2.5000,82.5000,0.23054,-0.00000
2.5000,87.5000,0.10697,-0.00000
7.5000,-87.5000,0.00000,-0.00000
7.5000,-82.5000,0.00000,-0.00000
7.5000,-77.5000,0.00000,-0.00000
7.5000,-72.5000,0.00000,-0.00000
7.5000,-67.5000,0.11317,-0.00000
7.5000,-62.5000,0.10492,-0.00000
7.5000,-57.5000,0.15027,-0.00000
7.5000,-52.5000,0.27926,-0.00000
7.5000,-47.5000,0.43859,-0.00000
7.5000,-42.5000,0.56297,-0.00000
7.5000,-37.5000,0.64738,-0.00000
7.5000,-32.5000,0.52342,-0.00000
7.5000,-27.5000,0.44494,-0.00002
7.5000,-22.5000,0.42535,-0.00270
7.5000,-17.5000,0.48467,-0.01841
7.5000,-12.5000,0.53859,-0.03115
7.5000,-7.5000,0.55668,-0.01799
7.5000,-2.5000,0.54321,-0.00281
7.5000,2.5000,0.53814,-0.00023
7.5000,7.5000,0.00000,-0.00000
7.5000,12.5000,0.00000,-0.00000
7.5000,17.5000,0.00000,-0.00000
7.5000,22.5000,0.00000,-0.00000
7.5000,27.5000,0.00000,-0.00000
7.5000,32.5000,0.00000,0.00436
7.5000,37.5000,0.50000,0.00914
7.5000,42.5000,0.49875,0.00519
7.5000,47.5000,0.00000,0.00042
7.5000,52.5000,0.00000,-0.00000
7.5000,57.5000,0.56669,-0.00000
7.5000,62.5000,0.00000,-0.00000
7.5000,67.5000,0.48697,-0.00000
7.5000,72.5000,0.53457,-0.00000
7.5000,77.5000,0.55492,-0.00000
7.5000,82.5000,0.34259,-0.00000
7.5000,87.5000,0.14034,-0.00000
12.5000,-87.5000,0.00000,-0.00000
12.5000,-82.5000,0.00000,-0.00000
12.5000,-77.5000,0.00000,-0.00000
12.5000,-72.5000,0.00000,-0.00000
12.5000,-67.5000,0.11560,-0.00000
12.5000,-62.5000,0.11084,-0.00000
12.5000,-57.5000,0.16844,-0.00000
12.5000,-52.5000,0.27650,-0.00000
12.5000,-47.5000,0.45829,-0.00000
12.5000,-42.5000,0.54790,-0.00000
12.5000,-37.5000,0.58101,-0.00000
12.5000,-32.5000,0.46966,-0.00000
12.5000,-27.5000,0.39498,-0.00004
12.5000,-22.5000,0.42731,-0.00384
12.5000,-17.5000,0.00000,-0.01397
12.5000,-12.5000,0.55214,-0.01707
12.5000,-7.5000,0.56338,-0.00739
12.5000,-2.5000,0.00000,-0.00049
12.5000,2.5000,0.00000,-0.00000
12.5000,7.5000,0.00000,-0.00000
12.5000,12.5000,0.00000,-0.00000
12.5000,17.5000,0.00000,-0.00000
12.5000,22.5000,0.00000,-0.00000
12.5000,27.5000,0.00000,-0.00007
12.5000,32.5000,0.00000,0.00792
12.5000,37.5000,0.00000,0.01732
12.5000,42.5000,0.00000,0.01057
12.5000,47.5000,0.00000,0.00125
12.5000,52.5000,0.00000,-0.00000
12.5000,57.5000,0.00000,-0.00000
12.5000,62.5000,0.00000,-0.00000
12.5000,67.5000,0.53590,-0.00000
12.5000,72.5000,0.47144,-0.00000
12.5000,77.5000,0.58720,-0.00000
12.5000,82.5000,0.55896,-0.00000
12.5000,87.5000,0.19947,-0.00000
17.5000,-87.5000,0.00000,-0.00000
17.5000,-82.5000,0.00000,-0.00000
17.5000,-77.5000,0.00000,-0.00000
17.5000,-72.5000,0.00000,-0.00000
17.5000,-67.5000,0.11740,-0.00000
17.5000,-62.5000,0.12181,-0.00000
17.5000,-57.5000,0.20609,-0.00000
17.5000,-52.5000,0.29407,-0.00000
17.5000,-47.5000,0.44289,-0.00000
17.5000,-42.5000,0.51775,-0.00000
17.5000,-37.5000,0.50635,-0.00000
17.5000,-32.5000,0.35920,-0.00000
17.5000,-27.5000,0.00000,-0.00002
17.5000,-22.5000,0.00000,-0.00156
17.5000,-17.5000,0.00000,-0.00439
17.5000,-12.5000,0.00000,-0.00445
17.5000,-7.5000,0.00000,-0.00184
17.5000,-2.5000,0.00000,-0.00025
17.5000,2.5000,0.00000,-0.00000
17.5000,7.5000,0.00000,-0.00000
17.5000,12.5000,0.00000,-0.00000
17.5000,17.5000,0.00000,-0.00000
17.5000,22.5000,0.00000,-0.00000
17.5000,27.5000,0.00000,-0.00015
17.5000,32.5000,0.53026,0.00775
17.5000,37.5000,0.58800,0.01718
17.5000,42.5000,0.72836,0.01053
17.5000,47.5000,0.00000,0.00125
17.5000,52.5000,0.00000,-0.00000
17.5000,57.5000,0.72799,-0.00000
17.5000,62.5000,0.00000,-0.00000
17.5000,67.5000,0.00000,-0.00000
17.5000,72.5000,0.60163,-0.00000
17.5000,77.5000,0.00000,-0.00000
17.5000,82.5000,0.63648,-0.00000
17.5000,87.5000,0.26924,-0.00000
22.5000,-87.5000,0.00000,-0.00000
22.5000,-82.5000,0.00000,-0.00000
22.5000,-77.5000,0.00000,-0.00000
22.5000,-72.5000,0.00000,-0.00000
22.5000,-67.5000,0.12674,-0.00000
22.5000,-62.5000,0.13616,-0.00000
22.5000,-57.5000,0.24643,-0.00000
22.5000,-52.5000,0.31394,-0.00000
22.5000,-47.5000,0.43296,-0.00000
22.5000,-42.5000,0.56735,-0.00000
22.5000,-37.5000,0.44085,-0.00000
22.5000,-32.5000,0.00000,-0.00000
22.5000,-27.5000,0.00000,-0.00000
22.5000,-22.5000,0.00000,-0.00000
22.5000,-17.5000,0.00000,-0.00000
22.5000,-12.5000,0.00000,-0.00000
22.5000,-7.5000,0.00000,-0.00000
22.5000,-2.5000,0.00000,-0.00000
22.5000,2.5000,0.00000,-0.00000
22.5000,7.5000,0.00000,-0.00000
22.5000,12.5000,0.00000,-0.00000
22.5000,17.5000,0.00000,-0.00000
22.5000,22.5000,0.00000,-0.00000
22.5000,27.5000,0.00000,-0.00007
