YEAR,EC2_SST,EC2_TCF,Global_Mean_SST
0101,-1.5023,-2.1141,-1.5463
0102,-1.4124,-1.3210,-1.4384
0103,-1.3573,1.0376,-1.3568
0104,-1.3699,-1.1686,-1.3929
0105,-1.5050,-0.8262,-1.5445
0106,-1.4515,-1.6702,-1.4610
0107,-1.3078,-0.3621,-1.3282
0108,-1.3983,-1.0460,-1.4262
0109,-1.4919,-1.2706,-1.5106
0110,-1.2733,-0.8196,-1.2956
0111,-1.2050,-0.9324,-1.2187
0112,-1.1784,-0.7092,-1.1752
0113,-1.3045,-3.1916,-1.2885
0114,-1.1088,-0.3891,-1.1069
0115,-1.0715,-0.1127,-1.0240
0116,-1.0383,-1.2254,-1.0404
0117,-0.9657,-0.8686,-0.9565
0118,-0.9491,-0.8469,-0.9643
0119,-0.8702,-0.2572,-0.8936
0120,-0.8941,-0.2455,-0.9149
0121,-0.8108,-0.9392,-0.8656
0122,-0.6533,-0.6703,-0.6833
0123,-0.6157,0.0117,-0.6267
0124,-0.5949,-0.0698,-0.6236
0125,-0.5021,-0.2732,-0.5073
0126,-0.3936,0.4661,-0.4098
0127,-0.5085,-0.5861,-0.4994
0128,-0.3548,0.0298,-0.3544
0129,-0.3735,0.3020,-0.3858
0130,-0.3858,-1.1610,-0.3692
0131,-0.3367,-0.7145,-0.3105
0132,-0.2058,-0.5867,-0.2159
0133,-0.2799,-1.4084,-0.2587
0134,-0.0018,0.2677,0.0119
0135,-0.1077,0.2455,-0.1008
0136,0.1005,-0.7619,0.0990
0137,0.0292,1.1317,0.0081
0138,0.1046,-0.6503,0.0661
0139,0.2934,0.6263,0.2714
0140,0.2463,0.4388,0.2295
0141,0.3022,1.4832,0.2738
0142,0.3483,0.1430,0.3257
0143,0.3434,-0.1596,0.3291
0144,0.3677,-0.3327,0.3645
0145,0.3826,-0.0823,0.3777
0146,0.5565,0.2819,0.5403
0147,0.5815,0.0253,0.5745
0148,0.5629,0.6142,0.5400
0149,0.8019,1.1814,0.8104
0150,0.8387,1.1118,0.8398
0151,0.8134,0.0598,0.8166
0152,0.9013,0.8520,0.9179
0153,0.8149,0.0488,0.7997
0154,1.0558,1.5225,1.0085
0155,0.9480,0.0829,0.9508
0156,0.9966,1.0471,0.9971
0157,1.1828,1.9588,1.1435
0158,1.1587,0.6224,1.1327
0159,1.1345,0.4772,1.1374
0160,1.1955,0.8423,1.1857
0161,1.2312,1.6560,1.2108
0162,1.2642,0.2668,1.2679
0163,1.2833,1.1096,1.2592
0164,1.5163,0.9118,1.5068
0165,1.4774,1.6627,1.4565
0166,1.4741,-0.0462,1.4593
0167,1.7339,0.8438,1.7419
0168,1.5379,2.0459,1.5157
0169,1.5337,1.3972,1.5037
0170,1.6673,1.0136,1.6474
