Longitude,Latitude,Data
2.5000,-87.5000,-0.00000
2.5000,-82.5000,-0.00000
2.5000,-77.5000,-0.00000
2.5000,-72.5000,-0.00000
2.5000,-67.5000,-0.00000
2.5000,-62.5000,-0.00000
2.5000,-57.5000,-0.00000
2.5000,-52.5000,-0.00000
2.5000,-47.5000,-0.00000
2.5000,-42.5000,-0.00000
2.5000,-37.5000,-0.00000
2.5000,-32.5000,-0.00000
2.5000,-27.5000,-0.00000
2.5000,-22.5000,-0.00000
2.5000,-17.5000,-0.00000
2.5000,-12.5000,-0.00000
2.5000,-7.5000,-0.00000
2.5000,-2.5000,-0.00000
2.5000,2.5000,-0.00000
2.5000,7.5000,-0.00000
2.5000,12.5000,-0.00000
2.5000,17.5000,-0.00000
2.5000,22.5000,-0.00000
2.5000,27.5000,-0.00000
2.5000,32.5000,-0.00009
2.5000,37.5000,-0.00026
2.5000,42.5000,-0.00024
2.5000,47.5000,-0.00007
2.5000,52.5000,-0.00000
2.5000,57.5000,-0.00000
2.5000,62.5000,-0.00000
2.5000,67.5000,-0.00000
2.5000,72.5000,-0.00000
2.5000,77.5000,-0.00000
2.5000,82.5000,-0.00000
2.5000,87.5000,-0.00000
7.5000,-87.5000,-0.00000
7.5000,-82.5000,-0.00000
7.5000,-77.5000,-0.00000
7.5000,-72.5000,-0.00000
7.5000,-67.5000,-0.00000
7.5000,-62.5000,-0.00000
7.5000,-57.5000,-0.00000
7.5000,-52.5000,-0.00000
7.5000,-47.5000,-0.00000
7.5000,-42.5000,-0.00000
7.5000,-37.5000,-0.00000
7.5000,-32.5000,-0.00000
7.5000,-27.5000,-0.00000
7.5000,-22.5000,-0.00000
7.5000,-17.5000,-0.00000
7.5000,-12.5000,-0.00000
7.5000,-7.5000,-0.00000
7.5000,-2.5000,-0.00000
7.5000,2.5000,-0.00000
7.5000,7.5000,-0.00000
7.5000,12.5000,-0.00000
7.5000,17.5000,-0.00000
7.5000,22.5000,-0.00000
7.5000,27.5000,-0.00018
7.5000,32.5000,-0.00043
7.5000,37.5000,-0.00046
7.5000,42.5000,-0.00035
7.5000,47.5000,-0.00014
7.5000,52.5000,-0.00000
7.5000,57.5000,-0.00000
7.5000,62.5000,-0.00000
7.5000,67.5000,-0.00000
7.5000,72.5000,-0.00000
7.5000,77.5000,-0.00000
7.5000,82.5000,-0.00000
7.5000,87.5000,-0.00000
12.5000,-87.5000,-0.00000
12.5000,-82.5000,-0.00000
12.5000,-77.5000,-0.00000
12.5000,-72.5000,-0.00000
12.5000,-67.5000,-0.00000
12.5000,-62.5000,-0.00000
12.5000,-57.5000,-0.00000
12.5000,-52.5000,-0.00000
12.5000,-47.5000,-0.00000
12.5000,-42.5000,0.00001
12.5000,-37.5000,0.00003
12.5000,-32.5000,0.00001
12.5000,-27.5000,-0.00000
12.5000,-22.5000,-0.00000
12.5000,-17.5000,-0.00000
12.5000,-12.5000,-0.00000
12.5000,-7.5000,-0.00000
12.5000,-2.5000,-0.00000
12.5000,2.5000,-0.00000
12.5000,7.5000,-0.00000
12.5000,12.5000,-0.00000
12.5000,17.5000,-0.00000
12.5000,22.5000,-0.00000
12.5000,27.5000,-0.00039
12.5000,32.5000,-0.00058
12.5000,37.5000,-0.00007
12.5000,42.5000,0.00005
12.5000,47.5000,-0.00007
12.5000,52.5000,-0.00000
12.5000,57.5000,-0.00000
12.5000,62.5000,-0.00000
12.5000,67.5000,-0.00000
12.5000,72.5000,-0.00000
12.5000,77.5000,-0.00000
12.5000,82.5000,-0.00000
12.5000,87.5000,-0.00000
17.5000,-87.5000,-0.00000
17.5000,-82.5000,-0.00000
17.5000,-77.5000,-0.00000
17.5000,-72.5000,-0.00000
17.5000,-67.5000,-0.00000
17.5000,-62.5000,-0.00000
17.5000,-57.5000,-0.00000
17.5000,-52.5000,-0.00000
17.5000,-47.5000,-0.00000
17.5000,-42.5000,-0.00011
17.5000,-37.5000,-0.00022
17.5000,-32.5000,-0.00011
17.5000,-27.5000,-0.00000
17.5000,-22.5000,-0.00000
17.5000,-17.5000,-0.00000
17.5000,-12.5000,-0.00000
17.5000,-7.5000,-0.00000
17.5000,-2.5000,-0.00000
17.5000,2.5000,-0.00000
17.5000,7.5000,-0.00000
17.5000,12.5000,-0.00000
17.5000,17.5000,-0.00000
17.5000,22.5000,-0.00000
17.5000,27.5000,-0.00039
17.5000,32.5000,-0.00056
17.5000,37.5000,0.00005
17.5000,42.5000,0.00022
17.5000,47.5000,-0.00000
17.5000,52.5000,-0.00000
17.5000,57.5000,-0.00000
17.5000,62.5000,-0.00000
17.5000,67.5000,-0.00000
17.5000,72.5000,-0.00000
17.5000,77.5000,-0.00000
17.5000,82.5000,-0.00000
17.5000,87.5000,-0.00000
22.5000,-87.5000,-0.00000
22.5000,-82.5000,-0.00000
22.5000,-77.5000,-0.00000
22.5000,-72.5000,-0.00000
22.5000,-67.5000,-0.00000
22.5000,-62.5000,-0.00000
22.5000,-57.5000,-0.00000
22.5000,-52.5000,-0.00000
22.5000,-47.5000,0.00001
22.5000,-42.5000,-0.00015
22.5000,-37.5000,-0.00040
22.5000,-32.5000,-0.00030
22.5000,-27.5000,-0.00006
22.5000,-22.5000,-0.00000
22.5000,-17.5000,-0.00000
22.5000,-12.5000,-0.00000
22.5000,-7.5000,-0.00000
22.5000,-2.5000,-0.00000
22.5000,2.5000,-0.00000
22.5000,7.5000,-0.00000
22.5000,12.5000,-0.00000
22.5000,17.5000,-0.00000
22.5000,22.5000,-0.00000
22.5000,27.5000,-0.00032
22.5000,32.5000,-0.00044
22.5000,37.5000,0.00009
22.5000,42.5000,0.00020
22.5000,47.5000,-0.00000
22.5000,52.5000,-0.00000
22.5000,57.5000,-0.00000
22.5000,62.5000,-0.00000
22.5000,67.5000,-0.00000
22.5000,72.5000,-0.00000
22.5000,77.5000,-0.00000
22.5000,82.5000,-0.00000
22.5000,87.5000,-0.00000
