Longitude,Latitude,Data
2.5000,-87.5000,-0.00000
2.5000,-82.5000,-0.00000
2.5000,-77.5000,-0.00000
2.5000,-72.5000,-0.00000
2.5000,-67.5000,-0.00000
2.5000,-62.5000,-0.00000
2.5000,-57.5000,-0.00000
2.5000,-52.5000,-0.00000
2.5000,-47.5000,-0.00000
2.5000,-42.5000,-0.00000
2.5000,-37.5000,-0.00000
2.5000,-32.5000,-0.00000
2.5000,-27.5000,-0.00016
2.5000,-22.5000,-0.00104
2.5000,-17.5000,-0.00293
2.5000,-12.5000,-0.00518
2.5000,-7.5000,-0.00482
2.5000,-2.5000,-0.00158
2.5000,2.5000,0.00011
2.5000,7.5000,-0.00000
2.5000,12.5000,-0.00000
2.5000,17.5000,-0.00000
2.5000,22.5000,-0.00000
2.5000,27.5000,-0.00000
2.5000,32.5000,0.00007
2.5000,37.5000,0.00020
2.5000,42.5000,0.00019
2.5000,47.5000,0.00006
2.5000,52.5000,-0.00000
2.5000,57.5000,-0.00000
2.5000,62.5000,-0.00000
2.5000,67.5000,-0.00000
2.5000,72.5000,-0.00000
2.5000,77.5000,-0.00000
2.5000,82.5000,-0.00000
2.5000,87.5000,-0.00000
7.5000,-87.5000,-0.00000
7.5000,-82.5000,-0.00000
7.5000,-77.5000,-0.00000
7.5000,-72.5000,-0.00001
7.5000,-67.5000,-0.00002
7.5000,-62.5000,-0.00001
7.5000,-57.5000,-0.00000
7.5000,-52.5000,-0.00000
7.5000,-47.5000,-0.00000
7.5000,-42.5000,-0.00000
7.5000,-37.5000,-0.00000
7.5000,-32.5000,-0.00000
7.5000,-27.5000,-0.00005
7.5000,-22.5000,-0.00098
7.5000,-17.5000,-0.00302
7.5000,-12.5000,-0.00486
7.5000,-7.5000,-0.00441
7.5000,-2.5000,-0.00171
7.5000,2.5000,-0.00008
7.5000,7.5000,-0.00000
7.5000,12.5000,-0.00000
7.5000,17.5000,-0.00000
7.5000,22.5000,-0.00000
7.5000,27.5000,-0.00000
7.5000,32.5000,-0.00024
7.5000,37.5000,-0.00034
7.5000,42.5000,0.00006
7.5000,47.5000,0.00015
7.5000,52.5000,-0.00000
7.5000,57.5000,-0.00000
7.5000,62.5000,-0.00000
7.5000,67.5000,-0.00000
7.5000,72.5000,-0.00000
7.5000,77.5000,-0.00000
7.5000,82.5000,-0.00000
7.5000,87.5000,-0.00000
12.5000,-87.5000,-0.00000
12.5000,-82.5000,-0.00000
12.5000,-77.5000,-0.00000
12.5000,-72.5000,-0.00002
12.5000,-67.5000,-0.00004
12.5000,-62.5000,-0.00002
12.5000,-57.5000,-0.00000
12.5000,-52.5000,-0.00000
12.5000,-47.5000,-0.00000
12.5000,-42.5000,-0.00000
12.5000,-37.5000,-0.00000
12.5000,-32.5000,-0.00000
12.5000,-27.5000,0.00003
12.5000,-22.5000,-0.00038
12.5000,-17.5000,-0.00158
12.5000,-12.5000,-0.00241
12.5000,-7.5000,-0.00187
12.5000,-2.5000,-0.00071
12.5000,2.5000,-0.00009
12.5000,7.5000,-0.00000
12.5000,12.5000,-0.00000
12.5000,17.5000,-0.00000
12.5000,22.5000,-0.00000
12.5000,27.5000,-0.00010
12.5000,32.5000,-0.00037
12.5000,37.5000,-0.00028
12.5000,42.5000,0.00015
12.5000,47.5000,0.00016
12.5000,52.5000,-0.00000
12.5000,57.5000,-0.00000
12.5000,62.5000,-0.00000
12.5000,67.5000,-0.00000
12.5000,72.5000,-0.00000
12.5000,77.5000,-0.00000
12.5000,82.5000,-0.00000
12.5000,87.5000,-0.00000
17.5000,-87.5000,-0.00000
17.5000,-82.5000,-0.00000
17.5000,-77.5000,-0.00000
17.5000,-72.5000,-0.00003
17.5000,-67.5000,-0.00007
17.5000,-62.5000,-0.00003
17.5000,-57.5000,-0.00000
17.5000,-52.5000,-0.00000
17.5000,-47.5000,-0.00000
17.5000,-42.5000,-0.00000
17.5000,-37.5000,-0.00000
17.5000,-32.5000,-0.00000
17.5000,-27.5000,0.00001
17.5000,-22.5000,-0.00006
17.5000,-17.5000,-0.00041
17.5000,-12.5000,-0.00067
17.5000,-7.5000,-0.00040
17.5000,-2.5000,-0.00007
17.5000,2.5000,-0.00000
17.5000,7.5000,-0.00000
17.5000,12.5000,-0.00000
17.5000,17.5000,-0.00000
17.5000,22.5000,-0.00000
17.5000,27.5000,-0.00032
17.5000,32.5000,-0.00079
17.5000,37.5000,-0.00049
17.5000,42.5000,0.00011
17.5000,47.5000,0.00013
17.5000,52.5000,-0.00000
17.5000,57.5000,-0.00000
17.5000,62.5000,-0.00000
17.5000,67.5000,-0.00000
17.5000,72.5000,-0.00000
17.5000,77.5000,-0.00000
17.5000,82.5000,-0.00000
17.5000,87.5000,-0.00000
22.5000,-87.5000,-0.00000
22.5000,-82.5000,-0.00000
22.5000,-77.5000,-0.00000
22.5000,-72.5000,-0.00004
22.5000,-67.5000,-0.00011
22.5000,-62.5000,-0.00009
22.5000,-57.5000,-0.00002
22.5000,-52.5000,-0.00001
22.5000,-47.5000,0.00003
22.5000,-42.5000,0.00014
22.5000,-37.5000,0.00019
22.5000,-32.5000,0.00012
22.5000,-27.5000,0.00003
22.5000,-22.5000,-0.00006
22.5000,-17.5000,-0.00015
22.5000,-12.5000,-0.00008
22.5000,-7.5000,-0.00000
22.5000,-2.5000,-0.00000
22.5000,2.5000,-0.00000
22.5000,7.5000,-0.00000
22.5000,12.5000,-0.00000
22.5000,17.5000,-0.00000
22.5000,22.5000,-0.00000
22.5000,27.5000,-0.00005
22.5000,32.5000,-0.00057
22.5000,37.5000,-0.00089
22.5000,42.5000,-0.00026
22.5000,47.5000,0.00011
22.5000,52.5000,-0.00000
22.5000,57.5000,-0.00000
22.5000,62.5000,-0.00000
22.5000,67.5000,-0.00000
22.5000,72.5000,-0.00000
22.5000,77.5000,-0.00000
22.5000,82.5000,-0.00000
22.5000,87.5000,-0.00000
27.5000,-87.5000,-0.00000
