Longitude,Latitude,Data
2.5000,-87.5000,-0.00000
2.5000,-82.5000,-0.00000
2.5000,-77.5000,-0.00000
2.5000,-72.5000,-0.00000
2.5000,-67.5000,-0.00000
2.5000,-62.5000,-0.00000
2.5000,-57.5000,-0.00000
2.5000,-52.5000,-0.00000
2.5000,-47.5000,-0.00000
2.5000,-42.5000,-0.00001
2.5000,-37.5000,-0.00004
2.5000,-32.5000,-0.00004
2.5000,-27.5000,0.00009
2.5000,-22.5000,0.00091
2.5000,-17.5000,0.00276
2.5000,-12.5000,0.00355
2.5000,-7.5000,0.00199
2.5000,-2.5000,0.00039
2.5000,2.5000,-0.00000
2.5000,7.5000,-0.00003
2.5000,12.5000,-0.00006
2.5000,17.5000,-0.00003
2.5000,22.5000,-0.00000
2.5000,27.5000,-0.00000
2.5000,32.5000,-0.00011
2.5000,37.5000,-0.00026
2.5000,42.5000,-0.00018
2.5000,47.5000,-0.00003
2.5000,52.5000,-0.00000
2.5000,57.5000,-0.00000
2.5000,62.5000,0.00006
2.5000,67.5000,0.00012
2.5000,72.5000,0.00006
2.5000,77.5000,-0.00000
2.5000,82.5000,-0.00000
2.5000,87.5000,-0.00000
7.5000,-87.5000,-0.00000
7.5000,-82.5000,-0.00000
7.5000,-77.5000,-0.00000
7.5000,-72.5000,-0.00000
7.5000,-67.5000,-0.00000
7.5000,-62.5000,-0.00000
7.5000,-57.5000,-0.00000
7.5000,-52.5000,-0.00000
7.5000,-47.5000,-0.00000
7.5000,-42.5000,-0.00005
7.5000,-37.5000,-0.00014
7.5000,-32.5000,-0.00010
7.5000,-27.5000,0.00016
7.5000,-22.5000,0.00167
7.5000,-17.5000,0.00430
7.5000,-12.5000,0.00453
7.5000,-7.5000,0.00205
7.5000,-2.5000,0.00031
7.5000,2.5000,-0.00000
7.5000,7.5000,-0.00002
7.5000,12.5000,-0.00003
7.5000,17.5000,-0.00002
7.5000,22.5000,-0.00000
7.5000,27.5000,-0.00001
7.5000,32.5000,-0.00024
7.5000,37.5000,-0.00049
7.5000,42.5000,-0.00029
7.5000,47.5000,-0.00003
7.5000,52.5000,-0.00000
7.5000,57.5000,-0.00000
7.5000,62.5000,0.00007
7.5000,67.5000,0.00017
7.5000,72.5000,0.00012
7.5000,77.5000,0.00003
7.5000,82.5000,-0.00000
7.5000,87.5000,-0.00000
12.5000,-87.5000,-0.00000
12.5000,-82.5000,-0.00000
12.5000,-77.5000,-0.00000
12.5000,-72.5000,-0.00000
12.5000,-67.5000,-0.00000
12.5000,-62.5000,-0.00000
12.5000,-57.5000,-0.00000
12.5000,-52.5000,-0.00000
12.5000,-47.5000,-0.00000
12.5000,-42.5000,-0.00014
12.5000,-37.5000,-0.00031
12.5000,-32.5000,-0.00016
12.5000,-27.5000,0.00004
12.5000,-22.5000,0.00093
12.5000,-17.5000,0.00247
12.5000,-12.5000,0.00236
12.5000,-7.5000,0.00088
12.5000,-2.5000,0.00010
12.5000,2.5000,-0.00000
12.5000,7.5000,-0.00000
12.5000,12.5000,-0.00000
12.5000,17.5000,-0.00000
12.5000,22.5000,-0.00000
12.5000,27.5000,0.00031
12.5000,32.5000,0.00063
12.5000,37.5000,0.00037
12.5000,42.5000,0.00006
12.5000,47.5000,0.00002
12.5000,52.5000,-0.00000
12.5000,57.5000,-0.00000
12.5000,62.5000,0.00003
12.5000,67.5000,0.00013
12.5000,72.5000,0.00018
12.5000,77.5000,0.00008
12.5000,82.5000,-0.00000
12.5000,87.5000,-0.00000
17.5000,-87.5000,-0.00000
17.5000,-82.5000,-0.00000
17.5000,-77.5000,-0.00000
17.5000,-72.5000,-0.00000
17.5000,-67.5000,-0.00000
17.5000,-62.5000,-0.00000
17.5000,-57.5000,-0.00000
17.5000,-52.5000,-0.00000
17.5000,-47.5000,-0.00000
17.5000,-42.5000,-0.00045
17.5000,-37.5000,-0.00091
17.5000,-32.5000,-0.00048
17.5000,-27.5000,-0.00006
17.5000,-22.5000,0.00008
17.5000,-17.5000,0.00039
17.5000,-12.5000,0.00039
17.5000,-7.5000,0.00014
17.5000,-2.5000,0.00001
17.5000,2.5000,-0.00000
17.5000,7.5000,-0.00000
17.5000,12.5000,-0.00000
17.5000,17.5000,-0.00000
17.5000,22.5000,-0.00000
17.5000,27.5000,0.00111
17.5000,32.5000,0.00259
17.5000,37.5000,0.00190
17.5000,42.5000,0.00047
17.5000,47.5000,0.00005
17.5000,52.5000,-0.00000
17.5000,57.5000,-0.00000
17.5000,62.5000,-0.00000
17.5000,67.5000,0.00010
17.5000,72.5000,0.00021
17.5000,77.5000,0.00010
17.5000,82.5000,-0.00000
17.5000,87.5000,-0.00000
22.5000,-87.5000,-0.00000
22.5000,-82.5000,-0.00000
22.5000,-77.5000,-0.00000
22.5000,-72.5000,-0.00000
22.5000,-67.5000,-0.00000
22.5000,-62.5000,-0.00000
22.5000,-57.5000,-0.00000
22.5000,-52.5000,-0.00000
22.5000,-47.5000,-0.00004
22.5000,-42.5000,-0.00089
22.5000,-37.5000,-0.00180
22.5000,-32.5000,-0.00111
22.5000,-27.5000,-0.00018
22.5000,-22.5000,-0.00004
22.5000,-17.5000,-0.00001
22.5000,-12.5000,-0.00000
22.5000,-7.5000,-0.00000
22.5000,-2.5000,-0.00000
22.5000,2.5000,-0.00000
22.5000,7.5000,-0.00000
22.5000,12.5000,-0.00000
22.5000,17.5000,-0.00000
22.5000,22.5000,-0.00000
22.5000,27.5000,0.00135
22.5000,32.5000,0.00280
22.5000,37.5000,0.00158
22.5000,42.5000,0.00015
22.5000,47.5000,0.00002
22.5000,52.5000,-0.00000
22.5000,57.5000,-0.00000
22.5000,62.5000,-0.00000
22.5000,67.5000,0.00008
22.5000,72.5000,0.00016
22.5000,77.5000,0.00008
22.5000,82.5000,-0.00000
22.5000,87.5000,-0.00000
27.5000,-87.5000,-0.00000
27.5000,-82.5000,-0.00000
27.5000,-77.5000,-0.00000
