Longitude,Latitude,Data
2.5000,-87.5000,0.00000
2.5000,-82.5000,0.00000
2.5000,-77.5000,0.00000
2.5000,-72.5000,0.00000
2.5000,-67.5000,0.00000
2.5000,-62.5000,-0.00000
2.5000,-57.5000,0.00000
2.5000,-52.5000,0.00000
2.5000,-47.5000,-0.00000
2.5000,-42.5000,0.00000
2.5000,-37.5000,-0.00003
2.5000,-32.5000,-0.00005
2.5000,-27.5000,-0.00003
2.5000,-22.5000,-0.00000
2.5000,-17.5000,0.00000
2.5000,-12.5000,-0.00000
2.5000,-7.5000,-0.00000
2.5000,-2.5000,0.00000
2.5000,2.5000,0.00000
2.5000,7.5000,0.00000
2.5000,12.5000,0.00000
2.5000,17.5000,0.00000
2.5000,22.5000,0.00000
2.5000,27.5000,-0.00000
2.5000,32.5000,-0.00002
2.5000,37.5000,-0.00004
2.5000,42.5000,-0.00001
2.5000,47.5000,0.00001
2.5000,52.5000,0.00000
2.5000,57.5000,-0.00000
2.5000,62.5000,0.00000
2.5000,67.5000,0.00000
2.5000,72.5000,-0.00000
2.5000,77.5000,-0.00000
2.5000,82.5000,0.00000
2.5000,87.5000,-0.00000
7.5000,-87.5000,-0.00000
7.5000,-82.5000,-0.00000
7.5000,-77.5000,0.00000
7.5000,-72.5000,-0.00000
7.5000,-67.5000,0.00000
7.5000,-62.5000,-0.00000
7.5000,-57.5000,-0.00000
7.5000,-52.5000,-0.00000
7.5000,-47.5000,-0.00000
7.5000,-42.5000,-0.00002
7.5000,-37.5000,-0.00009
7.5000,-32.5000,-0.00012
7.5000,-27.5000,-0.00005
7.5000,-22.5000,0.00000
7.5000,-17.5000,0.00000
7.5000,-12.5000,-0.00000
7.5000,-7.5000,-0.00000
7.5000,-2.5000,0.00000
7.5000,2.5000,0.00000
7.5000,7.5000,0.00000
7.5000,12.5000,0.00000
7.5000,17.5000,-0.00000
7.5000,22.5000,0.00000
7.5000,27.5000,-0.00004
7.5000,32.5000,0.00002
7.5000,37.5000,0.00017
7.5000,42.5000,0.00013
7.5000,47.5000,0.00002
7.5000,52.5000,-0.00000
7.5000,57.5000,-0.00000
7.5000,62.5000,-0.00000
7.5000,67.5000,-0.00000
7.5000,72.5000,-0.00000
7.5000,77.5000,0.00000
7.5000,82.5000,-0.00000
7.5000,87.5000,-0.00000
12.5000,-87.5000,0.00000
12.5000,-82.5000,-0.00000
12.5000,-77.5000,-0.00000
12.5000,-72.5000,0.00000
12.5000,-67.5000,-0.00000
12.5000,-62.5000,-0.00000
12.5000,-57.5000,0.00000
12.5000,-52.5000,-0.00000
12.5000,-47.5000,0.00000
12.5000,-42.5000,-0.00004
12.5000,-37.5000,-0.00011
12.5000,-32.5000,-0.00009
12.5000,-27.5000,-0.00003
12.5000,-22.5000,0.00000
12.5000,-17.5000,0.00000
12.5000,-12.5000,-0.00000
12.5000,-7.5000,0.00000
12.5000,-2.5000,0.00000
12.5000,2.5000,0.00000
12.5000,7.5000,-0.00000
12.5000,12.5000,-0.00000
12.5000,17.5000,0.00000
12.5000,22.5000,0.00000
12.5000,27.5000,-0.00007
12.5000,32.5000,0.00026
12.5000,37.5000,0.00079
12.5000,42.5000,0.00053
12.5000,47.5000,0.00007
12.5000,52.5000,0.00000
12.5000,57.5000,0.00000
12.5000,62.5000,0.00000
12.5000,67.5000,0.00000
12.5000,72.5000,0.00000
12.5000,77.5000,0.00000
12.5000,82.5000,0.00000
12.5000,87.5000,0.00000
17.5000,-87.5000,0.00000
17.5000,-82.5000,0.00000
17.5000,-77.5000,0.00000
17.5000,-72.5000,0.00000
17.5000,-67.5000,0.00000
17.5000,-62.5000,0.00000
17.5000,-57.5000,0.00000
17.5000,-52.5000,-0.00000
17.5000,-47.5000,-0.00000
17.5000,-42.5000,-0.00001
17.5000,-37.5000,-0.00001
17.5000,-32.5000,0.00000
17.5000,-27.5000,0.00000
17.5000,-22.5000,0.00000
17.5000,-17.5000,0.00000
17.5000,-12.5000,0.00000
17.5000,-7.5000,0.00000
17.5000,-2.5000,0.00000
17.5000,2.5000,0.00000
17.5000,7.5000,0.00000
17.5000,12.5000,0.00000
17.5000,17.5000,0.00000
17.5000,22.5000,0.00000
17.5000,27.5000,0.00002
17.5000,32.5000,0.00033
17.5000,37.5000,0.00067
17.5000,42.5000,0.00045
17.5000,47.5000,0.00009
17.5000,52.5000,0.00000
17.5000,57.5000,0.00000
17.5000,62.5000,0.00000
17.5000,67.5000,0.00000
17.5000,72.5000,0.00000
17.5000,77.5000,0.00000
17.5000,82.5000,0.00000
17.5000,87.5000,0.00000
22.5000,-87.5000,0.00000
22.5000,-82.5000,0.00000
22.5000,-77.5000,0.00000
22.5000,-72.5000,0.00000
22.5000,-67.5000,0.00001
22.5000,-62.5000,0.00000
22.5000,-57.5000,-0.00000
22.5000,-52.5000,-0.00000
22.5000,-47.5000,-0.00002
22.5000,-42.5000,-0.00001
22.5000,-37.5000,0.00004
22.5000,-32.5000,0.00006
22.5000,-27.5000,0.00002
22.5000,-22.5000,-0.00000
22.5000,-17.5000,-0.00001
22.5000,-12.5000,-0.00000
22.5000,-7.5000,0.00000
22.5000,-2.5000,0.00000
22.5000,2.5000,0.00000
22.5000,7.5000,0.00000
22.5000,12.5000,0.00000
22.5000,17.5000,0.00000
22.5000,22.5000,0.00000
22.5000,27.5000,0.00012
22.5000,32.5000,0.00015
22.5000,37.5000,-0.00006
22.5000,42.5000,-0.00006
22.5000,47.5000,0.00002
22.5000,52.5000,0.00000
22.5000,57.5000,0.00000
22.5000,62.5000,0.00000
22.5000,67.5000,0.00000
22.5000,72.5000,0.00000
22.5000,77.5000,0.00000
22.5000,82.5000,0.00000
22.5000,87.5000,0.00000
27.5000,-87.5000,0.00000
27.5000,-82.5000,0.00000
27.5000,-77.5000,0.00000
27.5000,-72.5000,0.00001
27.5000,-67.5000,0.00002
27.5000,-62.5000,0.00001
27.5000,-57.5000,-0.00000
