Longitude,Latitude,Data
2.5000,-87.5000,-0.00000
2.5000,-82.5000,-0.00000
2.5000,-77.5000,0.00000
2.5000,-72.5000,-0.00000
2.5000,-67.5000,-0.00000
2.5000,-62.5000,-0.00000
2.5000,-57.5000,0.00000
2.5000,-52.5000,-0.00000
2.5000,-47.5000,-0.00000
2.5000,-42.5000,0.00000
2.5000,-37.5000,-0.00000
2.5000,-32.5000,0.00000
2.5000,-27.5000,0.00000
2.5000,-22.5000,0.00021
2.5000,-17.5000,0.00070
2.5000,-12.5000,-0.00030
2.5000,-7.5000,-0.00177
2.5000,-2.5000,-0.00092
2.5000,2.5000,0.00007
2.5000,7.5000,0.00000
2.5000,12.5000,-0.00000
2.5000,17.5000,-0.00000
2.5000,22.5000,-0.00000
2.5000,27.5000,0.00000
2.5000,32.5000,0.00031
2.5000,37.5000,0.00066
2.5000,42.5000,0.00039
2.5000,47.5000,0.00004
2.5000,52.5000,0.00000
2.5000,57.5000,0.00000
2.5000,62.5000,0.00000
2.5000,67.5000,0.00000
2.5000,72.5000,0.00000
2.5000,77.5000,-0.00000
2.5000,82.5000,-0.00000
2.5000,87.5000,-0.00000
7.5000,-87.5000,0.00000
7.5000,-82.5000,0.00000
7.5000,-77.5000,0.00000
7.5000,-72.5000,-0.00000
7.5000,-67.5000,-0.00000
7.5000,-62.5000,0.00000
7.5000,-57.5000,-0.00000
7.5000,-52.5000,0.00000
7.5000,-47.5000,0.00000
7.5000,-42.5000,-0.00000
7.5000,-37.5000,-0.00000
7.5000,-32.5000,0.00000
7.5000,-27.5000,0.00000
7.5000,-22.5000,0.00026
7.5000,-17.5000,0.00080
7.5000,-12.5000,0.00031
7.5000,-7.5000,-0.00067
7.5000,-2.5000,-0.00040
7.5000,2.5000,0.00005
7.5000,7.5000,-0.00000
7.5000,12.5000,0.00000
7.5000,17.5000,0.00000
7.5000,22.5000,0.00000
7.5000,27.5000,0.00002
7.5000,32.5000,0.00037
7.5000,37.5000,0.00073
7.5000,42.5000,0.00041
7.5000,47.5000,0.00004
7.5000,52.5000,-0.00000
7.5000,57.5000,0.00000
7.5000,62.5000,0.00000
7.5000,67.5000,0.00000
7.5000,72.5000,0.00000
7.5000,77.5000,-0.00000
7.5000,82.5000,0.00000
7.5000,87.5000,-0.00000
12.5000,-87.5000,-0.00000
12.5000,-82.5000,-0.00000
12.5000,-77.5000,0.00000
12.5000,-72.5000,-0.00000
12.5000,-67.5000,-0.00000
12.5000,-62.5000,-0.00000
12.5000,-57.5000,0.00000
12.5000,-52.5000,-0.00000
12.5000,-47.5000,0.00000
12.5000,-42.5000,-0.00000
12.5000,-37.5000,-0.00000
12.5000,-32.5000,-0.00000
12.5000,-27.5000,0.00000
12.5000,-22.5000,0.00014
12.5000,-17.5000,0.00034
12.5000,-12.5000,0.00028
12.5000,-7.5000,0.00011
12.5000,-2.5000,0.00004
12.5000,2.5000,0.00001
12.5000,7.5000,0.00000
12.5000,12.5000,0.00000
12.5000,17.5000,0.00000
12.5000,22.5000,0.00000
12.5000,27.5000,0.00009
12.5000,32.5000,0.00026
12.5000,37.5000,0.00023
12.5000,42.5000,0.00006
12.5000,47.5000,-0.00001
12.5000,52.5000,-0.00000
12.5000,57.5000,0.00000
12.5000,62.5000,0.00000
12.5000,67.5000,-0.00000
12.5000,72.5000,-0.00000
12.5000,77.5000,0.00000
12.5000,82.5000,0.00000
12.5000,87.5000,-0.00000
17.5000,-87.5000,0.00000
17.5000,-82.5000,0.00000
17.5000,-77.5000,-0.00000
17.5000,-72.5000,0.00000
17.5000,-67.5000,-0.00000
17.5000,-62.5000,0.00000
17.5000,-57.5000,-0.00001
17.5000,-52.5000,-0.00002
17.5000,-47.5000,-0.00001
17.5000,-42.5000,0.00000
17.5000,-37.5000,0.00001
17.5000,-32.5000,0.00001
17.5000,-27.5000,0.00000
17.5000,-22.5000,0.00003
17.5000,-17.5000,0.00003
17.5000,-12.5000,-0.00002
17.5000,-7.5000,-0.00002
17.5000,-2.5000,0.00000
17.5000,2.5000,-0.00000
17.5000,7.5000,0.00000
17.5000,12.5000,-0.00000
17.5000,17.5000,0.00000
17.5000,22.5000,0.00000
17.5000,27.5000,0.00015
17.5000,32.5000,0.00032
17.5000,37.5000,0.00019
17.5000,42.5000,-0.00000
17.5000,47.5000,-0.00001
17.5000,52.5000,-0.00000
17.5000,57.5000,-0.00000
17.5000,62.5000,-0.00000
17.5000,67.5000,0.00000
17.5000,72.5000,-0.00000
17.5000,77.5000,0.00000
17.5000,82.5000,0.00000
17.5000,87.5000,0.00000
22.5000,-87.5000,0.00000
22.5000,-82.5000,-0.00000
22.5000,-77.5000,0.00000
22.5000,-72.5000,0.00000
22.5000,-67.5000,0.00000
22.5000,-62.5000,0.00000
22.5000,-57.5000,-0.00001
22.5000,-52.5000,-0.00004
22.5000,-47.5000,-0.00004
22.5000,-42.5000,-0.00015
22.5000,-37.5000,-0.00029
22.5000,-32.5000,-0.00017
22.5000,-27.5000,-0.00002
22.5000,-22.5000,-0.00000
22.5000,-17.5000,-0.00000
22.5000,-12.5000,0.00000
22.5000,-7.5000,-0.00000
22.5000,-2.5000,0.00000
22.5000,2.5000,0.00000
22.5000,7.5000,-0.00000
22.5000,12.5000,0.00000
22.5000,17.5000,-0.00000
22.5000,22.5000,-0.00000
22.5000,27.5000,0.00006
22.5000,32.5000,0.00023
22.5000,37.5000,0.00027
22.5000,42.5000,0.00010
22.5000,47.5000,-0.00000
22.5000,52.5000,-0.00000
22.5000,57.5000,0.00000
22.5000,62.5000,-0.00000
22.5000,67.5000,0.00000
22.5000,72.5000,-0.00000
22.5000,77.5000,0.00000
22.5000,82.5000,-0.00000
22.5000,87.5000,-0.00000
27.5000,-87.5000,0.00000
27.5000,-82.5000,-0.00000
27.5000,-77.5000,0.00000
27.5000,-72.5000,-0.00000
27.5000,-67.5000,-0.00000
27.5000,-62.5000,-0.00000
