Longitude,Latitude,Data
2.5000,-87.5000,0.00000
2.5000,-82.5000,-0.00000
2.5000,-77.5000,0.00000
2.5000,-72.5000,-0.00000
2.5000,-67.5000,-0.00000
2.5000,-62.5000,0.00000
2.5000,-57.5000,-0.00000
2.5000,-52.5000,-0.00001
2.5000,-47.5000,-0.00001
2.5000,-42.5000,-0.00000
2.5000,-37.5000,0.00001
2.5000,-32.5000,0.00001
2.5000,-27.5000,0.00002
2.5000,-22.5000,0.00012
2.5000,-17.5000,0.00027
2.5000,-12.5000,-0.00008
2.5000,-7.5000,-0.00055
2.5000,-2.5000,-0.00030
2.5000,2.5000,0.00001
2.5000,7.5000,-0.00000
2.5000,12.5000,-0.00000
2.5000,17.5000,0.00000
2.5000,22.5000,-0.00000
2.5000,27.5000,-0.00000
2.5000,32.5000,0.00001
2.5000,37.5000,0.00010
2.5000,42.5000,0.00015
2.5000,47.5000,0.00007
2.5000,52.5000,0.00000
2.5000,57.5000,0.00001
2.5000,62.5000,0.00002
2.5000,67.5000,0.00002
2.5000,72.5000,0.00000
2.5000,77.5000,0.00000
2.5000,82.5000,0.00000
2.5000,87.5000,0.00000
7.5000,-87.5000,0.00000
7.5000,-82.5000,-0.00000
7.5000,-77.5000,0.00000
7.5000,-72.5000,-0.00000
7.5000,-67.5000,-0.00000
7.5000,-62.5000,-0.00000
7.5000,-57.5000,-0.00000
7.5000,-52.5000,-0.00001
7.5000,-47.5000,-0.00001
7.5000,-42.5000,0.00002
7.5000,-37.5000,0.00005
7.5000,-32.5000,0.00003
7.5000,-27.5000,0.00004
7.5000,-22.5000,0.00021
7.5000,-17.5000,0.00040
7.5000,-12.5000,0.00000
7.5000,-7.5000,-0.00052
7.5000,-2.5000,-0.00030
7.5000,2.5000,-0.00000
7.5000,7.5000,-0.00000
7.5000,12.5000,-0.00000
7.5000,17.5000,0.00000
7.5000,22.5000,-0.00000
7.5000,27.5000,0.00004
7.5000,32.5000,-0.00010
7.5000,37.5000,-0.00025
7.5000,42.5000,-0.00006
7.5000,47.5000,0.00005
7.5000,52.5000,0.00000
7.5000,57.5000,0.00000
7.5000,62.5000,0.00002
7.5000,67.5000,0.00002
7.5000,72.5000,0.00001
7.5000,77.5000,0.00000
7.5000,82.5000,0.00000
7.5000,87.5000,0.00000
12.5000,-87.5000,0.00000
12.5000,-82.5000,0.00000
12.5000,-77.5000,0.00000
12.5000,-72.5000,0.00000
12.5000,-67.5000,0.00000
12.5000,-62.5000,0.00000
12.5000,-57.5000,-0.00001
12.5000,-52.5000,-0.00001
12.5000,-47.5000,0.00001
12.5000,-42.5000,0.00007
12.5000,-37.5000,0.00012
12.5000,-32.5000,0.00007
12.5000,-27.5000,0.00006
12.5000,-22.5000,0.00025
12.5000,-17.5000,0.00053
12.5000,-12.5000,0.00040
12.5000,-7.5000,-0.00001
12.5000,-2.5000,-0.00010
12.5000,2.5000,-0.00001
12.5000,7.5000,0.00000
12.5000,12.5000,0.00000
12.5000,17.5000,0.00000
12.5000,22.5000,0.00001
12.5000,27.5000,0.00017
12.5000,32.5000,-0.00020
12.5000,37.5000,-0.00091
12.5000,42.5000,-0.00058
12.5000,47.5000,-0.00003
12.5000,52.5000,0.00000
12.5000,57.5000,0.00000
12.5000,62.5000,0.00000
12.5000,67.5000,0.00002
12.5000,72.5000,0.00002
12.5000,77.5000,0.00001
12.5000,82.5000,0.00000
12.5000,87.5000,0.00000
17.5000,-87.5000,0.00000
17.5000,-82.5000,0.00000
17.5000,-77.5000,0.00000
17.5000,-72.5000,0.00000
17.5000,-67.5000,0.00000
17.5000,-62.5000,0.00000
17.5000,-57.5000,-0.00001
17.5000,-52.5000,-0.00001
17.5000,-47.5000,0.00001
17.5000,-42.5000,0.00001
17.5000,-37.5000,-0.00002
17.5000,-32.5000,-0.00001
17.5000,-27.5000,0.00002
17.5000,-22.5000,0.00011
17.5000,-17.5000,0.00027
17.5000,-12.5000,0.00028
17.5000,-7.5000,0.00011
17.5000,-2.5000,0.00000
17.5000,2.5000,0.00000
17.5000,7.5000,0.00000
17.5000,12.5000,0.00000
17.5000,17.5000,0.00000
17.5000,22.5000,0.00002
17.5000,27.5000,0.00030
17.5000,32.5000,0.00007
17.5000,37.5000,-0.00076
17.5000,42.5000,-0.00060
17.5000,47.5000,-0.00006
17.5000,52.5000,0.00000
17.5000,57.5000,0.00000
17.5000,62.5000,0.00000
17.5000,67.5000,0.00001
17.5000,72.5000,0.00003
17.5000,77.5000,0.00001
17.5000,82.5000,0.00000
17.5000,87.5000,0.00000
22.5000,-87.5000,0.00000
22.5000,-82.5000,0.00000
22.5000,-77.5000,0.00000
22.5000,-72.5000,0.00000
22.5000,-67.5000,0.00000
22.5000,-62.5000,-0.00000
22.5000,-57.5000,-0.00001
22.5000,-52.5000,-0.00000
22.5000,-47.5000,-0.00002
22.5000,-42.5000,-0.00022
22.5000,-37.5000,-0.00037
22.5000,-32.5000,-0.00019
22.5000,-27.5000,-0.00001
22.5000,-22.5000,0.00000
22.5000,-17.5000,0.00000
22.5000,-12.5000,0.00000
22.5000,-7.5000,0.00000
22.5000,-2.5000,0.00000
22.5000,2.5000,0.00000
22.5000,7.5000,0.00000
22.5000,12.5000,0.00000
22.5000,17.5000,0.00000
22.5000,22.5000,0.00001
22.5000,27.5000,0.00017
22.5000,32.5000,0.00028
22.5000,37.5000,0.00007
22.5000,42.5000,-0.00006
22.5000,47.5000,-0.00001
22.5000,52.5000,0.00000
22.5000,57.5000,0.00000
22.5000,62.5000,0.00000
22.5000,67.5000,0.00001
22.5000,72.5000,0.00002
22.5000,77.5000,0.00001
22.5000,82.5000,0.00000
22.5000,87.5000,0.00000
27.5000,-87.5000,0.00000
27.5000,-82.5000,0.00000
27.5000,-77.5000,0.00000
27.5000,-72.5000,0.00000
27.5000,-67.5000,0.00000
27.5000,-62.5000,-0.00000
27.5000,-57.5000,-0.00001
