Longitude,Latitude,Data
2.5000,-87.5000,0.00000
2.5000,-82.5000,-0.00000
2.5000,-77.5000,-0.00000
2.5000,-72.5000,-0.00000
2.5000,-67.5000,-0.00000
2.5000,-62.5000,-0.00000
2.5000,-57.5000,-0.00000
2.5000,-52.5000,-0.00000
2.5000,-47.5000,-0.00000
2.5000,-42.5000,-0.00000
2.5000,-37.5000,-0.00000
2.5000,-32.5000,-0.00000
2.5000,-27.5000,-0.00000
2.5000,-22.5000,-0.00000
2.5000,-17.5000,-0.00000
2.5000,-12.5000,-0.00000
2.5000,-7.5000,-0.00000
2.5000,-2.5000,-0.00000
2.5000,2.5000,-0.00000
2.5000,7.5000,-0.00000
2.5000,12.5000,-0.00000
2.5000,17.5000,-0.00000
2.5000,22.5000,-0.00000
2.5000,27.5000,-0.00000
2.5000,32.5000,-0.00126
2.5000,37.5000,-0.00249
2.5000,42.5000,-0.00119
2.5000,47.5000,0.00004
2.5000,52.5000,-0.00000
2.5000,57.5000,-0.00000
2.5000,62.5000,-0.00000
2.5000,67.5000,-0.00000
2.5000,72.5000,-0.00000
2.5000,77.5000,-0.00000
2.5000,82.5000,-0.00000
2.5000,87.5000,-0.00000
7.5000,-87.5000,0.00000
7.5000,-82.5000,-0.00000
7.5000,-77.5000,-0.00000
7.5000,-72.5000,-0.00000
7.5000,-67.5000,-0.00000
7.5000,-62.5000,-0.00000
7.5000,-57.5000,-0.00000
7.5000,-52.5000,-0.00000
7.5000,-47.5000,-0.00004
7.5000,-42.5000,-0.00027
7.5000,-37.5000,-0.00042
7.5000,-32.5000,-0.00019
7.5000,-27.5000,-0.00000
7.5000,-22.5000,-0.00000
7.5000,-17.5000,-0.00000
7.5000,-12.5000,-0.00000
7.5000,-7.5000,-0.00000
7.5000,-2.5000,-0.00000
7.5000,2.5000,-0.00000
7.5000,7.5000,-0.00000
7.5000,12.5000,-0.00017
7.5000,17.5000,-0.00033
7.5000,22.5000,-0.00017
7.5000,27.5000,-0.00015
7.5000,32.5000,-0.00092
7.5000,37.5000,-0.00122
7.5000,42.5000,-0.00025
7.5000,47.5000,0.00019
7.5000,52.5000,-0.00000
7.5000,57.5000,-0.00000
7.5000,62.5000,-0.00000
7.5000,67.5000,-0.00000
7.5000,72.5000,-0.00000
7.5000,77.5000,-0.00000
7.5000,82.5000,-0.00000
7.5000,87.5000,-0.00000
12.5000,-87.5000,-0.00000
12.5000,-82.5000,-0.00000
12.5000,-77.5000,-0.00000
12.5000,-72.5000,-0.00000
12.5000,-67.5000,-0.00000
12.5000,-62.5000,-0.00000
12.5000,-57.5000,-0.00000
12.5000,-52.5000,-0.00000
12.5000,-47.5000,-0.00015
12.5000,-42.5000,-0.00073
12.5000,-37.5000,-0.00102
12.5000,-32.5000,-0.00045
12.5000,-27.5000,-0.00001
12.5000,-22.5000,-0.00000
12.5000,-17.5000,-0.00000
12.5000,-12.5000,-0.00000
12.5000,-7.5000,-0.00000
12.5000,-2.5000,-0.00000
12.5000,2.5000,-0.00000
12.5000,7.5000,-0.00011
12.5000,12.5000,-0.00067
12.5000,17.5000,-0.00100
12.5000,22.5000,-0.00044
12.5000,27.5000,-0.00014
12.5000,32.5000,0.00072
12.5000,37.5000,0.00213
12.5000,42.5000,0.00156
12.5000,47.5000,0.00028
12.5000,52.5000,-0.00000
12.5000,57.5000,-0.00000
12.5000,62.5000,-0.00000
12.5000,67.5000,-0.00000
12.5000,72.5000,-0.00000
12.5000,77.5000,-0.00000
12.5000,82.5000,-0.00000
12.5000,87.5000,-0.00000
17.5000,-87.5000,-0.00000
17.5000,-82.5000,-0.00000
17.5000,-77.5000,-0.00000
17.5000,-72.5000,-0.00000
17.5000,-67.5000,-0.00000
17.5000,-62.5000,-0.00000
17.5000,-57.5000,-0.00000
17.5000,-52.5000,-0.00000
17.5000,-47.5000,-0.00019
17.5000,-42.5000,-0.00057
17.5000,-37.5000,-0.00059
17.5000,-32.5000,-0.00024
17.5000,-27.5000,-0.00002
17.5000,-22.5000,-0.00000
17.5000,-17.5000,-0.00000
17.5000,-12.5000,-0.00000
17.5000,-7.5000,-0.00000
17.5000,-2.5000,-0.00000
17.5000,2.5000,-0.00000
17.5000,7.5000,-0.00028
17.5000,12.5000,-0.00095
17.5000,17.5000,-0.00106
17.5000,22.5000,-0.00039
17.5000,27.5000,0.00016
17.5000,32.5000,0.00240
17.5000,37.5000,0.00447
17.5000,42.5000,0.00238
17.5000,47.5000,0.00015
17.5000,52.5000,-0.00000
17.5000,57.5000,-0.00000
17.5000,62.5000,-0.00000
17.5000,67.5000,-0.00000
17.5000,72.5000,-0.00000
17.5000,77.5000,-0.00000
17.5000,82.5000,-0.00000
17.5000,87.5000,-0.00000
22.5000,-87.5000,-0.00000
22.5000,-82.5000,-0.00000
22.5000,-77.5000,-0.00000
22.5000,-72.5000,-0.00000
22.5000,-67.5000,-0.00000
22.5000,-62.5000,-0.00000
22.5000,-57.5000,-0.00000
22.5000,-52.5000,-0.00000
22.5000,-47.5000,-0.00005
22.5000,-42.5000,0.00016
22.5000,-37.5000,0.00049
22.5000,-32.5000,0.00031
22.5000,-27.5000,0.00003
22.5000,-22.5000,-0.00000
22.5000,-17.5000,-0.00000
22.5000,-12.5000,-0.00000
22.5000,-7.5000,-0.00000
22.5000,-2.5000,-0.00000
22.5000,2.5000,-0.00000
22.5000,7.5000,-0.00022
22.5000,12.5000,-0.00056
22.5000,17.5000,-0.00044
22.5000,22.5000,-0.00011
22.5000,27.5000,0.00018
22.5000,32.5000,0.00205
22.5000,37.5000,0.00358
22.5000,42.5000,0.00174
22.5000,47.5000,0.00003
22.5000,52.5000,-0.00000
22.5000,57.5000,-0.00000
22.5000,62.5000,-0.00000
22.5000,67.5000,-0.00000
22.5000,72.5000,-0.00000
22.5000,77.5000,-0.00000
22.5000,82.5000,-0.00000
22.5000,87.5000,-0.00000
27.5000,-87.5000,-0.00000
