Longitude,Latitude,Data
2.5000,-87.5000,-0.00000
2.5000,-82.5000,-0.00000
2.5000,-77.5000,-0.00000
2.5000,-72.5000,-0.00000
2.5000,-67.5000,-0.00000
2.5000,-62.5000,-0.00000
2.5000,-57.5000,-0.00000
2.5000,-52.5000,-0.00000
2.5000,-47.5000,-0.00000
2.5000,-42.5000,-0.00000
2.5000,-37.5000,-0.00000
2.5000,-32.5000,-0.00000
2.5000,-27.5000,0.00004
2.5000,-22.5000,-0.00038
2.5000,-17.5000,0.00045
2.5000,-12.5000,0.00262
2.5000,-7.5000,0.00217
2.5000,-2.5000,0.00042
2.5000,2.5000,0.00000
2.5000,7.5000,-0.00000
2.5000,12.5000,-0.00000
2.5000,17.5000,-0.00000
2.5000,22.5000,-0.00000
2.5000,27.5000,-0.00000
2.5000,32.5000,0.00006
2.5000,37.5000,0.00028
2.5000,42.5000,0.00039
2.5000,47.5000,0.00016
2.5000,52.5000,-0.00000
2.5000,57.5000,-0.00000
2.5000,62.5000,-0.00000
2.5000,67.5000,-0.00000
2.5000,72.5000,-0.00000
2.5000,77.5000,-0.00000
2.5000,82.5000,-0.00000
2.5000,87.5000,-0.00000
7.5000,-87.5000,0.00000
7.5000,-82.5000,-0.00000
7.5000,-77.5000,-0.00000
7.5000,-72.5000,-0.00000
7.5000,-67.5000,-0.00000
7.5000,-62.5000,-0.00000
7.5000,-57.5000,-0.00000
7.5000,-52.5000,-0.00000
7.5000,-47.5000,-0.00000
7.5000,-42.5000,-0.00000
7.5000,-37.5000,-0.00000
7.5000,-32.5000,-0.00000
7.5000,-27.5000,0.00007
7.5000,-22.5000,0.00011
7.5000,-17.5000,0.00094
7.5000,-12.5000,0.00292
7.5000,-7.5000,0.00314
7.5000,-2.5000,0.00114
7.5000,2.5000,0.00002
7.5000,7.5000,-0.00000
7.5000,12.5000,-0.00000
7.5000,17.5000,-0.00000
7.5000,22.5000,-0.00000
7.5000,27.5000,0.00007
7.5000,32.5000,0.00019
7.5000,37.5000,0.00048
7.5000,42.5000,0.00070
7.5000,47.5000,0.00034
7.5000,52.5000,0.00001
7.5000,57.5000,-0.00000
7.5000,62.5000,-0.00000
7.5000,67.5000,-0.00000
7.5000,72.5000,-0.00000
7.5000,77.5000,-0.00000
7.5000,82.5000,-0.00000
7.5000,87.5000,-0.00000
12.5000,-87.5000,-0.00000
12.5000,-82.5000,-0.00000
12.5000,-77.5000,-0.00000
12.5000,-72.5000,-0.00000
12.5000,-67.5000,-0.00000
12.5000,-62.5000,-0.00000
12.5000,-57.5000,-0.00000
12.5000,-52.5000,-0.00000
12.5000,-47.5000,-0.00000
12.5000,-42.5000,-0.00000
12.5000,-37.5000,-0.00000
12.5000,-32.5000,-0.00000
12.5000,-27.5000,0.00001
12.5000,-22.5000,0.00018
12.5000,-17.5000,0.00079
12.5000,-12.5000,0.00171
12.5000,-7.5000,0.00173
12.5000,-2.5000,0.00065
12.5000,2.5000,0.00001
12.5000,7.5000,-0.00000
12.5000,12.5000,-0.00000
12.5000,17.5000,-0.00000
12.5000,22.5000,-0.00000
12.5000,27.5000,-0.00015
12.5000,32.5000,-0.00019
12.5000,37.5000,0.00032
12.5000,42.5000,0.00064
12.5000,47.5000,0.00030
12.5000,52.5000,0.00002
12.5000,57.5000,-0.00000
12.5000,62.5000,-0.00000
12.5000,67.5000,-0.00000
12.5000,72.5000,-0.00000
12.5000,77.5000,-0.00000
12.5000,82.5000,-0.00000
12.5000,87.5000,-0.00000
17.5000,-87.5000,-0.00000
17.5000,-82.5000,-0.00000
17.5000,-77.5000,-0.00000
17.5000,-72.5000,-0.00000
17.5000,-67.5000,-0.00000
17.5000,-62.5000,-0.00000
17.5000,-57.5000,-0.00000
17.5000,-52.5000,-0.00000
17.5000,-47.5000,-0.00000
17.5000,-42.5000,-0.00000
17.5000,-37.5000,-0.00000
17.5000,-32.5000,-0.00000
17.5000,-27.5000,-0.00002
17.5000,-22.5000,-0.00002
17.5000,-17.5000,0.00023
17.5000,-12.5000,0.00048
17.5000,-7.5000,0.00027
17.5000,-2.5000,0.00002
17.5000,2.5000,-0.00000
17.5000,7.5000,-0.00000
17.5000,12.5000,-0.00000
17.5000,17.5000,-0.00000
17.5000,22.5000,-0.00000
17.5000,27.5000,-0.00060
17.5000,32.5000,-0.00094
17.5000,37.5000,0.00003
17.5000,42.5000,0.00048
17.5000,47.5000,0.00012
17.5000,52.5000,0.00001
17.5000,57.5000,-0.00000
17.5000,62.5000,-0.00000
17.5000,67.5000,-0.00000
17.5000,72.5000,-0.00000
17.5000,77.5000,-0.00000
17.5000,82.5000,-0.00000
17.5000,87.5000,-0.00000
22.5000,-87.5000,-0.00000
22.5000,-82.5000,-0.00000
22.5000,-77.5000,-0.00000
22.5000,-72.5000,-0.00000
22.5000,-67.5000,-0.00000
22.5000,-62.5000,-0.00000
22.5000,-57.5000,-0.00000
22.5000,-52.5000,-0.00000
22.5000,-47.5000,0.00001
22.5000,-42.5000,0.00010
22.5000,-37.5000,0.00016
22.5000,-32.5000,0.00006
22.5000,-27.5000,-0.00007
22.5000,-22.5000,-0.00015
22.5000,-17.5000,-0.00011
22.5000,-12.5000,-0.00002
22.5000,-7.5000,-0.00000
22.5000,-2.5000,-0.00000
22.5000,2.5000,-0.00000
22.5000,7.5000,-0.00000
22.5000,12.5000,-0.00000
22.5000,17.5000,-0.00000
22.5000,22.5000,-0.00000
22.5000,27.5000,-0.00050
22.5000,32.5000,-0.00107
22.5000,37.5000,-0.00056
22.5000,42.5000,0.00008
22.5000,47.5000,0.00007
22.5000,52.5000,-0.00000
22.5000,57.5000,-0.00000
22.5000,62.5000,-0.00000
22.5000,67.5000,-0.00000
22.5000,72.5000,-0.00000
22.5000,77.5000,-0.00000
22.5000,82.5000,-0.00000
22.5000,87.5000,-0.00000
27.5000,-87.5000,-0.00000
27.5000,-82.5000,-0.00000
