Longitude,Latitude,Data
2.5000,-87.5000,-0.00000
2.5000,-82.5000,-0.00000
2.5000,-77.5000,-0.00000
2.5000,-72.5000,-0.00000
2.5000,-67.5000,-0.00000
2.5000,-62.5000,-0.00000
2.5000,-57.5000,-0.00000
2.5000,-52.5000,-0.00000
2.5000,-47.5000,-0.00000
2.5000,-42.5000,-0.00000
2.5000,-37.5000,-0.00000
2.5000,-32.5000,-0.00000
2.5000,-27.5000,0.00020
2.5000,-22.5000,-0.00016
2.5000,-17.5000,-0.00205
2.5000,-12.5000,-0.00148
2.5000,-7.5000,0.00170
2.5000,-2.5000,0.00165
2.5000,2.5000,-0.00132
2.5000,7.5000,-0.00275
2.5000,12.5000,-0.00109
2.5000,17.5000,0.00019
2.5000,22.5000,-0.00000
2.5000,27.5000,-0.00000
2.5000,32.5000,0.00204
2.5000,37.5000,0.00408
2.5000,42.5000,0.00204
2.5000,47.5000,-0.00000
2.5000,52.5000,-0.00000
2.5000,57.5000,-0.00000
2.5000,62.5000,-0.00000
2.5000,67.5000,-0.00000
2.5000,72.5000,-0.00000
2.5000,77.5000,-0.00000
2.5000,82.5000,-0.00000
2.5000,87.5000,-0.00000
7.5000,-87.5000,-0.00000
7.5000,-82.5000,-0.00000
7.5000,-77.5000,-0.00000
7.5000,-72.5000,-0.00000
7.5000,-67.5000,-0.00000
7.5000,-62.5000,-0.00000
7.5000,-57.5000,-0.00000
7.5000,-52.5000,-0.00000
7.5000,-47.5000,-0.00000
7.5000,-42.5000,0.00024
7.5000,-37.5000,0.00049
7.5000,-32.5000,0.00024
7.5000,-27.5000,0.00022
7.5000,-22.5000,0.00041
7.5000,-17.5000,-0.00129
7.5000,-12.5000,-0.00163
7.5000,-7.5000,0.00134
7.5000,-2.5000,0.00166
7.5000,2.5000,-0.00056
7.5000,7.5000,-0.00130
7.5000,12.5000,-0.00039
7.5000,17.5000,0.00017
7.5000,22.5000,-0.00000
7.5000,27.5000,0.00010
7.5000,32.5000,0.00262
7.5000,37.5000,0.00500
7.5000,42.5000,0.00255
7.5000,47.5000,0.00006
7.5000,52.5000,-0.00000
7.5000,57.5000,-0.00000
7.5000,62.5000,-0.00000
7.5000,67.5000,-0.00000
7.5000,72.5000,-0.00000
7.5000,77.5000,-0.00000
7.5000,82.5000,-0.00000
7.5000,87.5000,-0.00000
12.5000,-87.5000,0.00000
12.5000,-82.5000,-0.00000
12.5000,-77.5000,-0.00000
12.5000,-72.5000,-0.00000
12.5000,-67.5000,-0.00000
12.5000,-62.5000,-0.00000
12.5000,-57.5000,0.00002
12.5000,-52.5000,0.00005
12.5000,-47.5000,0.00004
12.5000,-42.5000,0.00027
12.5000,-37.5000,0.00053
12.5000,-32.5000,0.00027
12.5000,-27.5000,0.00008
12.5000,-22.5000,-0.00010
12.5000,-17.5000,-0.00316
12.5000,-12.5000,-0.00516
12.5000,-7.5000,-0.00161
12.5000,-2.5000,0.00064
12.5000,2.5000,0.00006
12.5000,7.5000,0.00008
12.5000,12.5000,0.00015
12.5000,17.5000,0.00008
12.5000,22.5000,-0.00000
12.5000,27.5000,0.00067
12.5000,32.5000,0.00358
12.5000,37.5000,0.00532
12.5000,42.5000,0.00258
12.5000,47.5000,0.00017
12.5000,52.5000,-0.00000
12.5000,57.5000,-0.00000
12.5000,62.5000,-0.00000
12.5000,67.5000,-0.00000
12.5000,72.5000,-0.00000
12.5000,77.5000,-0.00000
12.5000,82.5000,-0.00000
12.5000,87.5000,-0.00000
17.5000,-87.5000,-0.00000
17.5000,-82.5000,-0.00000
17.5000,-77.5000,-0.00000
17.5000,-72.5000,-0.00000
17.5000,-67.5000,-0.00000
17.5000,-62.5000,-0.00000
17.5000,-57.5000,0.00003
17.5000,-52.5000,0.00011
17.5000,-47.5000,-0.00001
17.5000,-42.5000,-0.00109
17.5000,-37.5000,-0.00198
17.5000,-32.5000,-0.00110
17.5000,-27.5000,-0.00012
17.5000,-22.5000,-0.00032
17.5000,-17.5000,-0.00224
17.5000,-12.5000,-0.00342
17.5000,-7.5000,-0.00145
17.5000,-2.5000,0.00006
17.5000,2.5000,-0.00000
17.5000,7.5000,0.00002
17.5000,12.5000,0.00004
17.5000,17.5000,0.00002
17.5000,22.5000,-0.00000
17.5000,27.5000,0.00148
17.5000,32.5000,0.00567
17.5000,37.5000,0.00708
17.5000,42.5000,0.00307
17.5000,47.5000,0.00018
17.5000,52.5000,-0.00000
17.5000,57.5000,-0.00000
17.5000,62.5000,-0.00000
17.5000,67.5000,-0.00000
17.5000,72.5000,-0.00000
17.5000,77.5000,-0.00000
17.5000,82.5000,-0.00000
17.5000,87.5000,-0.00000
22.5000,-87.5000,-0.00000
22.5000,-82.5000,-0.00000
22.5000,-77.5000,-0.00000
22.5000,-72.5000,-0.00000
22.5000,-67.5000,-0.00000
22.5000,-62.5000,-0.00000
22.5000,-57.5000,0.00002
22.5000,-52.5000,0.00008
22.5000,-47.5000,-0.00025
22.5000,-42.5000,-0.00246
22.5000,-37.5000,-0.00436
22.5000,-32.5000,-0.00261
22.5000,-27.5000,-0.00044
22.5000,-22.5000,-0.00007
22.5000,-17.5000,-0.00004
22.5000,-12.5000,-0.00000
22.5000,-7.5000,-0.00000
22.5000,-2.5000,-0.00000
22.5000,2.5000,-0.00000
22.5000,7.5000,-0.00000
22.5000,12.5000,-0.00000
22.5000,17.5000,-0.00000
22.5000,22.5000,-0.00000
22.5000,27.5000,0.00109
22.5000,32.5000,0.00442
22.5000,37.5000,0.00566
22.5000,42.5000,0.00241
22.5000,47.5000,0.00008
22.5000,52.5000,-0.00000
22.5000,57.5000,-0.00000
22.5000,62.5000,-0.00000
22.5000,67.5000,-0.00000
22.5000,72.5000,-0.00000
22.5000,77.5000,-0.00000
22.5000,82.5000,-0.00000
22.5000,87.5000,-0.00000
27.5000,-87.5000,-0.00000
27.5000,-82.5000,-0.00000
27.5000,-77.5000,-0.00000
