Longitude,Latitude,Data
2.5000,-87.5000,0.00000
2.5000,-82.5000,0.00000
2.5000,-77.5000,-0.00000
2.5000,-72.5000,0.00000
2.5000,-67.5000,-0.00000
2.5000,-62.5000,-0.00000
2.5000,-57.5000,0.00000
2.5000,-52.5000,0.00000
2.5000,-47.5000,0.00000
2.5000,-42.5000,0.00000
2.5000,-37.5000,-0.00000
2.5000,-32.5000,-0.00001
2.5000,-27.5000,-0.00000
2.5000,-22.5000,-0.00000
2.5000,-17.5000,-0.00000
2.5000,-12.5000,0.00000
2.5000,-7.5000,-0.00000
2.5000,-2.5000,0.00000
2.5000,2.5000,0.00000
2.5000,7.5000,-0.00000
2.5000,12.5000,-0.00000
2.5000,17.5000,0.00000
2.5000,22.5000,-0.00000
2.5000,27.5000,0.00000
2.5000,32.5000,-0.00013
2.5000,37.5000,-0.00032
2.5000,42.5000,-0.00024
2.5000,47.5000,-0.00005
2.5000,52.5000,0.00000
2.5000,57.5000,-0.00000
2.5000,62.5000,0.00000
2.5000,67.5000,0.00000
2.5000,72.5000,-0.00000
2.5000,77.5000,-0.00000
2.5000,82.5000,0.00000
2.5000,87.5000,-0.00000
7.5000,-87.5000,-0.00000
7.5000,-82.5000,-0.00000
7.5000,-77.5000,0.00000
7.5000,-72.5000,-0.00000
7.5000,-67.5000,0.00000
7.5000,-62.5000,-0.00000
7.5000,-57.5000,-0.00000
7.5000,-52.5000,-0.00000
7.5000,-47.5000,-0.00000
7.5000,-42.5000,-0.00000
7.5000,-37.5000,-0.00001
7.5000,-32.5000,-0.00002
7.5000,-27.5000,-0.00001
7.5000,-22.5000,0.00000
7.5000,-17.5000,0.00000
7.5000,-12.5000,-0.00000
7.5000,-7.5000,-0.00000
7.5000,-2.5000,0.00000
7.5000,2.5000,0.00000
7.5000,7.5000,0.00000
7.5000,12.5000,0.00000
7.5000,17.5000,-0.00000
7.5000,22.5000,0.00000
7.5000,27.5000,-0.00006
7.5000,32.5000,-0.00041
7.5000,37.5000,-0.00070
7.5000,42.5000,-0.00041
7.5000,47.5000,-0.00006
7.5000,52.5000,-0.00000
7.5000,57.5000,-0.00000
7.5000,62.5000,0.00000
7.5000,67.5000,-0.00000
7.5000,72.5000,-0.00000
7.5000,77.5000,0.00000
7.5000,82.5000,-0.00000
7.5000,87.5000,-0.00000
12.5000,-87.5000,0.00000
12.5000,-82.5000,-0.00000
12.5000,-77.5000,-0.00000
12.5000,-72.5000,-0.00000
12.5000,-67.5000,-0.00000
12.5000,-62.5000,-0.00000
12.5000,-57.5000,0.00000
12.5000,-52.5000,-0.00000
12.5000,-47.5000,0.00000
12.5000,-42.5000,-0.00001
12.5000,-37.5000,-0.00002
12.5000,-32.5000,-0.00002
12.5000,-27.5000,-0.00000
12.5000,-22.5000,0.00000
12.5000,-17.5000,0.00000
12.5000,-12.5000,-0.00000
12.5000,-7.5000,0.00000
12.5000,-2.5000,0.00000
12.5000,2.5000,0.00000
12.5000,7.5000,-0.00000
12.5000,12.5000,-0.00000
12.5000,17.5000,0.00000
12.5000,22.5000,0.00000
12.5000,27.5000,-0.00021
12.5000,32.5000,-0.00053
12.5000,37.5000,-0.00042
12.5000,42.5000,-0.00009
12.5000,47.5000,0.00001
12.5000,52.5000,0.00000
12.5000,57.5000,0.00000
12.5000,62.5000,0.00000
12.5000,67.5000,0.00000
12.5000,72.5000,0.00000
12.5000,77.5000,0.00000
12.5000,82.5000,0.00000
12.5000,87.5000,0.00000
17.5000,-87.5000,0.00000
17.5000,-82.5000,0.00000
17.5000,-77.5000,0.00000
17.5000,-72.5000,0.00000
17.5000,-67.5000,0.00000
17.5000,-62.5000,0.00000
17.5000,-57.5000,0.00000
17.5000,-52.5000,0.00000
17.5000,-47.5000,0.00000
17.5000,-42.5000,-0.00002
17.5000,-37.5000,-0.00005
17.5000,-32.5000,-0.00003
17.5000,-27.5000,-0.00000
17.5000,-22.5000,0.00000
17.5000,-17.5000,0.00000
17.5000,-12.5000,0.00000
17.5000,-7.5000,0.00000
17.5000,-2.5000,0.00000
17.5000,2.5000,0.00000
17.5000,7.5000,0.00000
17.5000,12.5000,0.00000
17.5000,17.5000,0.00000
17.5000,22.5000,0.00000
17.5000,27.5000,-0.00023
17.5000,32.5000,-0.00041
17.5000,37.5000,-0.00012
17.5000,42.5000,0.00008
17.5000,47.5000,0.00001
17.5000,52.5000,0.00000
17.5000,57.5000,0.00000
17.5000,62.5000,0.00000
17.5000,67.5000,0.00000
17.5000,72.5000,0.00000
17.5000,77.5000,0.00000
17.5000,82.5000,0.00000
17.5000,87.5000,0.00000
22.5000,-87.5000,0.00000
22.5000,-82.5000,0.00000
22.5000,-77.5000,0.00000
22.5000,-72.5000,0.00000
22.5000,-67.5000,0.00001
22.5000,-62.5000,0.00000
22.5000,-57.5000,0.00000
22.5000,-52.5000,0.00000
22.5000,-47.5000,0.00001
22.5000,-42.5000,-0.00002
22.5000,-37.5000,-0.00005
22.5000,-32.5000,-0.00003
22.5000,-27.5000,0.00000
22.5000,-22.5000,0.00000
22.5000,-17.5000,0.00000
22.5000,-12.5000,0.00000
22.5000,-7.5000,0.00000
22.5000,-2.5000,0.00000
22.5000,2.5000,0.00000
22.5000,7.5000,0.00000
22.5000,12.5000,0.00000
22.5000,17.5000,0.00000
22.5000,22.5000,0.00000
22.5000,27.5000,0.00002
22.5000,32.5000,-0.00011
22.5000,37.5000,-0.00027
22.5000,42.5000,-0.00014
22.5000,47.5000,0.00001
22.5000,52.5000,0.00000
22.5000,57.5000,0.00000
22.5000,62.5000,0.00000
22.5000,67.5000,0.00000
22.5000,72.5000,0.00000
22.5000,77.5000,0.00000
22.5000,82.5000,0.00000
22.5000,87.5000,0.00000
27.5000,-87.5000,0.00000
27.5000,-82.5000,0.00000
27.5000,-77.5000,0.00000
27.5000,-72.5000,0.00001
27.5000,-67.5000,0.00002
27.5000,-62.5000,0.00001
