Longitude,Latitude,Data
2.5000,-87.5000,-0.00000
2.5000,-82.5000,-0.00000
2.5000,-77.5000,0.00000
2.5000,-72.5000,-0.00000
2.5000,-67.5000,0.00000
2.5000,-62.5000,-0.00000
2.5000,-57.5000,-0.00000
2.5000,-52.5000,-0.00000
2.5000,-47.5000,-0.00000
2.5000,-42.5000,0.00000
2.5000,-37.5000,0.00000
2.5000,-32.5000,0.00000
2.5000,-27.5000,0.00000
2.5000,-22.5000,0.00017
2.5000,-17.5000,0.00106
2.5000,-12.5000,0.00137
2.5000,-7.5000,0.00048
2.5000,-2.5000,0.00024
2.5000,2.5000,0.00025
2.5000,7.5000,0.00000
2.5000,12.5000,-0.00000
2.5000,17.5000,-0.00000
2.5000,22.5000,-0.00000
2.5000,27.5000,0.00000
2.5000,32.5000,0.00022
2.5000,37.5000,0.00046
2.5000,42.5000,0.00026
2.5000,47.5000,0.00002
2.5000,52.5000,0.00000
2.5000,57.5000,0.00000
2.5000,62.5000,0.00000
2.5000,67.5000,0.00000
2.5000,72.5000,0.00000
2.5000,77.5000,-0.00000
2.5000,82.5000,-0.00000
2.5000,87.5000,-0.00000
7.5000,-87.5000,0.00000
7.5000,-82.5000,0.00000
7.5000,-77.5000,-0.00000
7.5000,-72.5000,-0.00000
7.5000,-67.5000,0.00000
7.5000,-62.5000,-0.00000
7.5000,-57.5000,-0.00000
7.5000,-52.5000,0.00000
7.5000,-47.5000,0.00000
7.5000,-42.5000,-0.00000
7.5000,-37.5000,-0.00000
7.5000,-32.5000,0.00000
7.5000,-27.5000,0.00000
7.5000,-22.5000,0.00010
7.5000,-17.5000,0.00087
7.5000,-12.5000,0.00147
7.5000,-7.5000,0.00087
7.5000,-2.5000,0.00031
7.5000,2.5000,0.00014
7.5000,7.5000,-0.00000
7.5000,12.5000,0.00000
7.5000,17.5000,-0.00000
7.5000,22.5000,0.00000
7.5000,27.5000,0.00001
7.5000,32.5000,0.00033
7.5000,37.5000,0.00063
7.5000,42.5000,0.00033
7.5000,47.5000,0.00002
7.5000,52.5000,-0.00000
7.5000,57.5000,-0.00000
7.5000,62.5000,0.00000
7.5000,67.5000,0.00000
7.5000,72.5000,0.00000
7.5000,77.5000,-0.00000
7.5000,82.5000,0.00000
7.5000,87.5000,-0.00000
12.5000,-87.5000,0.00000
12.5000,-82.5000,-0.00000
12.5000,-77.5000,0.00000
12.5000,-72.5000,-0.00000
12.5000,-67.5000,-0.00000
12.5000,-62.5000,-0.00000
12.5000,-57.5000,0.00000
12.5000,-52.5000,0.00000
12.5000,-47.5000,0.00000
12.5000,-42.5000,0.00000
12.5000,-37.5000,0.00000
12.5000,-32.5000,-0.00000
12.5000,-27.5000,0.00000
12.5000,-22.5000,0.00005
12.5000,-17.5000,0.00029
12.5000,-12.5000,0.00055
12.5000,-7.5000,0.00042
12.5000,-2.5000,0.00013
12.5000,2.5000,0.00001
12.5000,7.5000,-0.00000
12.5000,12.5000,0.00000
12.5000,17.5000,0.00000
12.5000,22.5000,0.00000
12.5000,27.5000,0.00004
12.5000,32.5000,0.00028
12.5000,37.5000,0.00043
12.5000,42.5000,0.00019
12.5000,47.5000,0.00000
12.5000,52.5000,0.00000
12.5000,57.5000,-0.00000
12.5000,62.5000,0.00000
12.5000,67.5000,0.00000
12.5000,72.5000,-0.00000
12.5000,77.5000,-0.00000
12.5000,82.5000,0.00000
12.5000,87.5000,-0.00000
17.5000,-87.5000,-0.00000
17.5000,-82.5000,0.00000
17.5000,-77.5000,-0.00000
17.5000,-72.5000,0.00000
17.5000,-67.5000,-0.00000
17.5000,-62.5000,0.00000
17.5000,-57.5000,-0.00000
17.5000,-52.5000,-0.00000
17.5000,-47.5000,-0.00000
17.5000,-42.5000,0.00001
17.5000,-37.5000,0.00003
17.5000,-32.5000,0.00001
17.5000,-27.5000,0.00000
17.5000,-22.5000,0.00003
17.5000,-17.5000,0.00005
17.5000,-12.5000,0.00002
17.5000,-7.5000,-0.00000
17.5000,-2.5000,0.00000
17.5000,2.5000,-0.00000
17.5000,7.5000,0.00000
17.5000,12.5000,0.00000
17.5000,17.5000,0.00000
17.5000,22.5000,0.00000
17.5000,27.5000,0.00005
17.5000,32.5000,0.00023
17.5000,37.5000,0.00031
17.5000,42.5000,0.00013
17.5000,47.5000,-0.00000
17.5000,52.5000,0.00000
17.5000,57.5000,-0.00000
17.5000,62.5000,0.00000
17.5000,67.5000,0.00000
17.5000,72.5000,-0.00000
17.5000,77.5000,0.00000
17.5000,82.5000,0.00000
17.5000,87.5000,0.00000
22.5000,-87.5000,-0.00000
22.5000,-82.5000,-0.00000
22.5000,-77.5000,0.00000
22.5000,-72.5000,0.00000
22.5000,-67.5000,-0.00000
22.5000,-62.5000,0.00000
22.5000,-57.5000,-0.00000
22.5000,-52.5000,-0.00000
22.5000,-47.5000,0.00001
22.5000,-42.5000,-0.00009
22.5000,-37.5000,-0.00021
22.5000,-32.5000,-0.00014
22.5000,-27.5000,-0.00002
22.5000,-22.5000,-0.00001
22.5000,-17.5000,-0.00001
22.5000,-12.5000,0.00000
22.5000,-7.5000,-0.00000
22.5000,-2.5000,0.00000
22.5000,2.5000,-0.00000
22.5000,7.5000,0.00000
22.5000,12.5000,0.00000
22.5000,17.5000,-0.00000
22.5000,22.5000,0.00000
22.5000,27.5000,0.00005
22.5000,32.5000,0.00023
22.5000,37.5000,0.00031
22.5000,42.5000,0.00013
22.5000,47.5000,-0.00000
22.5000,52.5000,0.00000
22.5000,57.5000,0.00000
22.5000,62.5000,-0.00000
22.5000,67.5000,0.00000
22.5000,72.5000,0.00000
22.5000,77.5000,0.00000
22.5000,82.5000,-0.00000
22.5000,87.5000,-0.00000
27.5000,-87.5000,0.00000
27.5000,-82.5000,0.00000
27.5000,-77.5000,0.00000
27.5000,-72.5000,0.00000
27.5000,-67.5000,-0.00000
27.5000,-62.5000,-0.00001
27.5000,-57.5000,-0.00002
