Longitude,Latitude,Data
2.5000,-87.5000,0.00000
2.5000,-82.5000,0.00000
2.5000,-77.5000,0.00000
2.5000,-72.5000,0.00000
2.5000,-67.5000,-0.00000
2.5000,-62.5000,-0.00000
2.5000,-57.5000,-0.00000
2.5000,-52.5000,-0.00000
2.5000,-47.5000,-0.00001
2.5000,-42.5000,-0.00000
2.5000,-37.5000,-0.00000
2.5000,-32.5000,0.00000
2.5000,-27.5000,0.00003
2.5000,-22.5000,0.00016
2.5000,-17.5000,-0.00015
2.5000,-12.5000,-0.00115
2.5000,-7.5000,-0.00137
2.5000,-2.5000,-0.00057
2.5000,2.5000,-0.00006
2.5000,7.5000,-0.00000
2.5000,12.5000,-0.00000
2.5000,17.5000,0.00000
2.5000,22.5000,-0.00000
2.5000,27.5000,-0.00000
2.5000,32.5000,-0.00004
2.5000,37.5000,-0.00003
2.5000,42.5000,0.00006
2.5000,47.5000,0.00005
2.5000,52.5000,0.00000
2.5000,57.5000,-0.00000
2.5000,62.5000,-0.00001
2.5000,67.5000,-0.00000
2.5000,72.5000,-0.00000
2.5000,77.5000,0.00000
2.5000,82.5000,0.00000
2.5000,87.5000,0.00000
7.5000,-87.5000,0.00000
7.5000,-82.5000,-0.00000
7.5000,-77.5000,0.00000
7.5000,-72.5000,-0.00000
7.5000,-67.5000,-0.00000
7.5000,-62.5000,-0.00000
7.5000,-57.5000,-0.00000
7.5000,-52.5000,-0.00001
7.5000,-47.5000,-0.00001
7.5000,-42.5000,0.00001
7.5000,-37.5000,0.00002
7.5000,-32.5000,0.00002
7.5000,-27.5000,0.00007
7.5000,-22.5000,0.00028
7.5000,-17.5000,0.00012
7.5000,-12.5000,-0.00081
7.5000,-7.5000,-0.00123
7.5000,-2.5000,-0.00055
7.5000,2.5000,-0.00004
7.5000,7.5000,0.00000
7.5000,12.5000,-0.00000
7.5000,17.5000,0.00000
7.5000,22.5000,-0.00000
7.5000,27.5000,0.00003
7.5000,32.5000,-0.00006
7.5000,37.5000,-0.00018
7.5000,42.5000,-0.00004
7.5000,47.5000,0.00004
7.5000,52.5000,0.00000
7.5000,57.5000,-0.00000
7.5000,62.5000,-0.00000
7.5000,67.5000,-0.00001
7.5000,72.5000,-0.00000
7.5000,77.5000,-0.00000
7.5000,82.5000,0.00000
7.5000,87.5000,0.00000
12.5000,-87.5000,0.00000
12.5000,-82.5000,0.00000
12.5000,-77.5000,0.00000
12.5000,-72.5000,0.00000
12.5000,-67.5000,0.00000
12.5000,-62.5000,0.00000
12.5000,-57.5000,-0.00000
12.5000,-52.5000,-0.00000
12.5000,-47.5000,0.00001
12.5000,-42.5000,0.00008
12.5000,-37.5000,0.00013
12.5000,-32.5000,0.00007
12.5000,-27.5000,0.00009
12.5000,-22.5000,0.00023
12.5000,-17.5000,0.00037
12.5000,-12.5000,0.00016
12.5000,-7.5000,-0.00024
12.5000,-2.5000,-0.00019
12.5000,2.5000,-0.00001
12.5000,7.5000,0.00000
12.5000,12.5000,0.00000
12.5000,17.5000,0.00000
12.5000,22.5000,0.00001
12.5000,27.5000,0.00023
12.5000,32.5000,0.00002
12.5000,37.5000,-0.00061
12.5000,42.5000,-0.00040
12.5000,47.5000,0.00001
12.5000,52.5000,0.00000
12.5000,57.5000,0.00000
12.5000,62.5000,-0.00000
12.5000,67.5000,-0.00000
12.5000,72.5000,-0.00001
12.5000,77.5000,-0.00000
12.5000,82.5000,0.00000
12.5000,87.5000,0.00000
17.5000,-87.5000,0.00000
17.5000,-82.5000,0.00000
17.5000,-77.5000,0.00000
17.5000,-72.5000,0.00000
17.5000,-67.5000,0.00000
17.5000,-62.5000,0.00000
17.5000,-57.5000,-0.00000
17.5000,-52.5000,0.00000
17.5000,-47.5000,0.00003
17.5000,-42.5000,-0.00001
17.5000,-37.5000,-0.00011
17.5000,-32.5000,-0.00008
17.5000,-27.5000,0.00002
17.5000,-22.5000,0.00008
17.5000,-17.5000,0.00018
17.5000,-12.5000,0.00024
17.5000,-7.5000,0.00010
17.5000,-2.5000,-0.00001
17.5000,2.5000,0.00000
17.5000,7.5000,0.00000
17.5000,12.5000,0.00000
17.5000,17.5000,0.00000
17.5000,22.5000,0.00002
17.5000,27.5000,0.00043
17.5000,32.5000,0.00040
17.5000,37.5000,-0.00040
17.5000,42.5000,-0.00039
17.5000,47.5000,-0.00000
17.5000,52.5000,0.00000
17.5000,57.5000,0.00000
17.5000,62.5000,0.00000
17.5000,67.5000,-0.00000
17.5000,72.5000,-0.00001
17.5000,77.5000,-0.00000
17.5000,82.5000,0.00000
17.5000,87.5000,0.00000
22.5000,-87.5000,0.00000
22.5000,-82.5000,0.00000
22.5000,-77.5000,0.00000
22.5000,-72.5000,0.00000
22.5000,-67.5000,0.00000
22.5000,-62.5000,-0.00000
22.5000,-57.5000,-0.00000
22.5000,-52.5000,0.00001
22.5000,-47.5000,-0.00000
22.5000,-42.5000,-0.00032
22.5000,-37.5000,-0.00066
22.5000,-32.5000,-0.00040
22.5000,-27.5000,-0.00005
22.5000,-22.5000,0.00001
22.5000,-17.5000,0.00000
22.5000,-12.5000,0.00000
22.5000,-7.5000,0.00000
22.5000,-2.5000,0.00000
22.5000,2.5000,0.00000
22.5000,7.5000,0.00000
22.5000,12.5000,0.00000
22.5000,17.5000,0.00000
22.5000,22.5000,0.00001
22.5000,27.5000,0.00025
22.5000,32.5000,0.00052
22.5000,37.5000,0.00035
22.5000,42.5000,0.00008
22.5000,47.5000,0.00001
22.5000,52.5000,0.00000
22.5000,57.5000,0.00000
22.5000,62.5000,0.00000
22.5000,67.5000,-0.00000
22.5000,72.5000,-0.00001
22.5000,77.5000,-0.00000
22.5000,82.5000,0.00000
22.5000,87.5000,0.00000
27.5000,-87.5000,0.00000
27.5000,-82.5000,0.00000
27.5000,-77.5000,0.00000
27.5000,-72.5000,0.00000
27.5000,-67.5000,0.00000
27.5000,-62.5000,0.00000
