Longitude,Latitude,Data
2.5000,-87.5000,0.00000
2.5000,-82.5000,0.00000
2.5000,-77.5000,-0.00000
2.5000,-72.5000,0.00000
2.5000,-67.5000,0.00000
2.5000,-62.5000,-0.00000
2.5000,-57.5000,0.00000
2.5000,-52.5000,0.00000
2.5000,-47.5000,0.00000
2.5000,-42.5000,0.00000
2.5000,-37.5000,-0.00003
2.5000,-32.5000,-0.00007
2.5000,-27.5000,-0.00003
2.5000,-22.5000,0.00000
2.5000,-17.5000,0.00000
2.5000,-12.5000,-0.00000
2.5000,-7.5000,0.00000
2.5000,-2.5000,-0.00000
2.5000,2.5000,0.00000
2.5000,7.5000,0.00000
2.5000,12.5000,0.00000
2.5000,17.5000,0.00000
2.5000,22.5000,0.00000
2.5000,27.5000,-0.00000
2.5000,32.5000,0.00004
2.5000,37.5000,0.00013
2.5000,42.5000,0.00013
2.5000,47.5000,0.00004
2.5000,52.5000,0.00000
2.5000,57.5000,-0.00000
2.5000,62.5000,-0.00000
2.5000,67.5000,0.00000
2.5000,72.5000,-0.00000
2.5000,77.5000,-0.00000
2.5000,82.5000,-0.00000
2.5000,87.5000,-0.00000
7.5000,-87.5000,0.00000
7.5000,-82.5000,-0.00000
7.5000,-77.5000,-0.00000
7.5000,-72.5000,-0.00000
7.5000,-67.5000,0.00000
7.5000,-62.5000,-0.00000
7.5000,-57.5000,0.00000
7.5000,-52.5000,0.00000
7.5000,-47.5000,-0.00000
7.5000,-42.5000,-0.00002
7.5000,-37.5000,-0.00011
7.5000,-32.5000,-0.00016
7.5000,-27.5000,-0.00007
7.5000,-22.5000,-0.00000
7.5000,-17.5000,0.00000
7.5000,-12.5000,0.00000
7.5000,-7.5000,-0.00000
7.5000,-2.5000,-0.00000
7.5000,2.5000,-0.00000
7.5000,7.5000,-0.00000
7.5000,12.5000,-0.00000
7.5000,17.5000,0.00000
7.5000,22.5000,0.00000
7.5000,27.5000,0.00002
7.5000,32.5000,0.00016
7.5000,37.5000,0.00034
7.5000,42.5000,0.00028
7.5000,47.5000,0.00008
7.5000,52.5000,0.00000
7.5000,57.5000,0.00000
7.5000,62.5000,-0.00000
7.5000,67.5000,-0.00000
7.5000,72.5000,0.00000
7.5000,77.5000,-0.00000
7.5000,82.5000,0.00000
7.5000,87.5000,0.00000
12.5000,-87.5000,0.00000
12.5000,-82.5000,0.00000
12.5000,-77.5000,0.00000
12.5000,-72.5000,0.00000
12.5000,-67.5000,0.00000
12.5000,-62.5000,-0.00000
12.5000,-57.5000,-0.00000
12.5000,-52.5000,-0.00000
12.5000,-47.5000,0.00000
12.5000,-42.5000,-0.00006
12.5000,-37.5000,-0.00015
12.5000,-32.5000,-0.00012
12.5000,-27.5000,-0.00003
12.5000,-22.5000,-0.00000
12.5000,-17.5000,-0.00000
12.5000,-12.5000,0.00000
12.5000,-7.5000,-0.00000
12.5000,-2.5000,-0.00000
12.5000,2.5000,-0.00000
12.5000,7.5000,0.00000
12.5000,12.5000,0.00000
12.5000,17.5000,0.00000
12.5000,22.5000,0.00000
12.5000,27.5000,0.00002
12.5000,32.5000,0.00042
12.5000,37.5000,0.00088
12.5000,42.5000,0.00056
12.5000,47.5000,0.00009
12.5000,52.5000,0.00000
12.5000,57.5000,0.00000
12.5000,62.5000,0.00000
12.5000,67.5000,0.00000
12.5000,72.5000,0.00000
12.5000,77.5000,0.00000
12.5000,82.5000,0.00000
12.5000,87.5000,0.00000
17.5000,-87.5000,0.00000
17.5000,-82.5000,0.00000
17.5000,-77.5000,0.00000
17.5000,-72.5000,0.00000
17.5000,-67.5000,0.00000
17.5000,-62.5000,0.00000
17.5000,-57.5000,0.00000
17.5000,-52.5000,-0.00000
17.5000,-47.5000,-0.00001
17.5000,-42.5000,-0.00004
17.5000,-37.5000,-0.00007
17.5000,-32.5000,-0.00003
17.5000,-27.5000,0.00000
17.5000,-22.5000,0.00000
17.5000,-17.5000,0.00000
17.5000,-12.5000,0.00000
17.5000,-7.5000,0.00000
17.5000,-2.5000,0.00000
17.5000,2.5000,0.00000
17.5000,7.5000,0.00000
17.5000,12.5000,0.00000
17.5000,17.5000,0.00000
17.5000,22.5000,0.00000
17.5000,27.5000,-0.00005
17.5000,32.5000,0.00035
17.5000,37.5000,0.00091
17.5000,42.5000,0.00057
17.5000,47.5000,0.00006
17.5000,52.5000,0.00000
17.5000,57.5000,0.00000
17.5000,62.5000,0.00000
17.5000,67.5000,0.00000
17.5000,72.5000,0.00000
17.5000,77.5000,0.00000
17.5000,82.5000,0.00000
17.5000,87.5000,0.00000
22.5000,-87.5000,0.00000
22.5000,-82.5000,0.00000
22.5000,-77.5000,0.00000
22.5000,-72.5000,0.00000
22.5000,-67.5000,0.00001
22.5000,-62.5000,0.00000
22.5000,-57.5000,-0.00000
22.5000,-52.5000,-0.00001
22.5000,-47.5000,-0.00005
22.5000,-42.5000,-0.00009
22.5000,-37.5000,-0.00006
22.5000,-32.5000,-0.00000
22.5000,-27.5000,0.00001
22.5000,-22.5000,-0.00001
22.5000,-17.5000,-0.00001
22.5000,-12.5000,-0.00001
22.5000,-7.5000,0.00000
22.5000,-2.5000,0.00000
22.5000,2.5000,0.00000
22.5000,7.5000,0.00000
22.5000,12.5000,0.00000
22.5000,17.5000,0.00000
22.5000,22.5000,0.00000
22.5000,27.5000,-0.00018
22.5000,32.5000,-0.00028
22.5000,37.5000,-0.00003
22.5000,42.5000,0.00008
22.5000,47.5000,0.00000
22.5000,52.5000,0.00000
22.5000,57.5000,0.00000
22.5000,62.5000,0.00000
22.5000,67.5000,0.00000
22.5000,72.5000,0.00000
22.5000,77.5000,0.00000
22.5000,82.5000,0.00000
22.5000,87.5000,0.00000
27.5000,-87.5000,0.00000
27.5000,-82.5000,0.00000
27.5000,-77.5000,0.00000
27.5000,-72.5000,0.00001
27.5000,-67.5000,0.00002
27.5000,-62.5000,0.00001
27.5000,-57.5000,-0.00001
