Longitude,Latitude,Data
2.5000,-87.5000,-0.00000
2.5000,-82.5000,-0.00000
2.5000,-77.5000,0.00000
2.5000,-72.5000,-0.00000
2.5000,-67.5000,-0.00000
2.5000,-62.5000,0.00000
2.5000,-57.5000,0.00000
2.5000,-52.5000,-0.00000
2.5000,-47.5000,0.00000
2.5000,-42.5000,0.00000
2.5000,-37.5000,0.00000
2.5000,-32.5000,0.00000
2.5000,-27.5000,0.00000
2.5000,-22.5000,0.00007
2.5000,-17.5000,0.00043
2.5000,-12.5000,0.00020
2.5000,-7.5000,-0.00062
2.5000,-2.5000,-0.00047
2.5000,2.5000,-0.00001
2.5000,7.5000,0.00000
2.5000,12.5000,-0.00000
2.5000,17.5000,0.00000
2.5000,22.5000,0.00000
2.5000,27.5000,-0.00000
2.5000,32.5000,0.00013
2.5000,37.5000,0.00028
2.5000,42.5000,0.00018
2.5000,47.5000,0.00002
2.5000,52.5000,0.00000
2.5000,57.5000,0.00000
2.5000,62.5000,0.00000
2.5000,67.5000,0.00000
2.5000,72.5000,0.00000
2.5000,77.5000,-0.00000
2.5000,82.5000,-0.00000
2.5000,87.5000,-0.00000
7.5000,-87.5000,0.00000
7.5000,-82.5000,-0.00000
7.5000,-77.5000,-0.00000
7.5000,-72.5000,-0.00000
7.5000,-67.5000,-0.00000
7.5000,-62.5000,0.00000
7.5000,-57.5000,-0.00000
7.5000,-52.5000,0.00000
7.5000,-47.5000,0.00000
7.5000,-42.5000,-0.00000
7.5000,-37.5000,0.00000
7.5000,-32.5000,0.00000
7.5000,-27.5000,0.00000
7.5000,-22.5000,0.00004
7.5000,-17.5000,0.00059
7.5000,-12.5000,0.00089
7.5000,-7.5000,0.00016
7.5000,-2.5000,-0.00018
7.5000,2.5000,-0.00001
7.5000,7.5000,0.00000
7.5000,12.5000,-0.00000
7.5000,17.5000,0.00000
7.5000,22.5000,0.00000
7.5000,27.5000,0.00001
7.5000,32.5000,0.00007
7.5000,37.5000,0.00009
7.5000,42.5000,0.00003
7.5000,47.5000,-0.00001
7.5000,52.5000,-0.00000
7.5000,57.5000,0.00000
7.5000,62.5000,0.00000
7.5000,67.5000,0.00000
7.5000,72.5000,-0.00000
7.5000,77.5000,-0.00000
7.5000,82.5000,0.00000
7.5000,87.5000,-0.00000
12.5000,-87.5000,-0.00000
12.5000,-82.5000,0.00000
12.5000,-77.5000,0.00000
12.5000,-72.5000,-0.00000
12.5000,-67.5000,-0.00000
12.5000,-62.5000,-0.00000
12.5000,-57.5000,0.00000
12.5000,-52.5000,-0.00000
12.5000,-47.5000,0.00000
12.5000,-42.5000,-0.00000
12.5000,-37.5000,-0.00000
12.5000,-32.5000,0.00000
12.5000,-27.5000,0.00000
12.5000,-22.5000,0.00002
12.5000,-17.5000,0.00027
12.5000,-12.5000,0.00053
12.5000,-7.5000,0.00031
12.5000,-2.5000,0.00004
12.5000,2.5000,0.00000
12.5000,7.5000,0.00000
12.5000,12.5000,-0.00000
12.5000,17.5000,-0.00000
12.5000,22.5000,0.00000
12.5000,27.5000,0.00007
12.5000,32.5000,-0.00009
12.5000,37.5000,-0.00042
12.5000,42.5000,-0.00029
12.5000,47.5000,-0.00003
12.5000,52.5000,-0.00000
12.5000,57.5000,0.00000
12.5000,62.5000,-0.00000
12.5000,67.5000,-0.00000
12.5000,72.5000,0.00000
12.5000,77.5000,-0.00000
12.5000,82.5000,-0.00000
12.5000,87.5000,-0.00000
17.5000,-87.5000,0.00000
17.5000,-82.5000,0.00000
17.5000,-77.5000,-0.00000
17.5000,-72.5000,0.00000
17.5000,-67.5000,0.00000
17.5000,-62.5000,-0.00000
17.5000,-57.5000,-0.00001
17.5000,-52.5000,-0.00002
17.5000,-47.5000,-0.00001
17.5000,-42.5000,-0.00000
17.5000,-37.5000,0.00000
17.5000,-32.5000,0.00000
17.5000,-27.5000,0.00000
17.5000,-22.5000,0.00001
17.5000,-17.5000,0.00002
17.5000,-12.5000,0.00000
17.5000,-7.5000,-0.00000
17.5000,-2.5000,0.00000
17.5000,2.5000,-0.00000
17.5000,7.5000,0.00000
17.5000,12.5000,-0.00000
17.5000,17.5000,-0.00000
17.5000,22.5000,0.00000
17.5000,27.5000,0.00012
17.5000,32.5000,-0.00003
17.5000,37.5000,-0.00045
17.5000,42.5000,-0.00032
17.5000,47.5000,-0.00002
17.5000,52.5000,-0.00000
17.5000,57.5000,-0.00000
17.5000,62.5000,0.00000
17.5000,67.5000,0.00000
17.5000,72.5000,-0.00000
17.5000,77.5000,-0.00000
17.5000,82.5000,0.00000
17.5000,87.5000,0.00000
22.5000,-87.5000,0.00000
22.5000,-82.5000,0.00000
22.5000,-77.5000,-0.00000
22.5000,-72.5000,0.00000
22.5000,-67.5000,-0.00000
22.5000,-62.5000,-0.00000
22.5000,-57.5000,-0.00001
22.5000,-52.5000,-0.00004
22.5000,-47.5000,-0.00003
22.5000,-42.5000,-0.00005
22.5000,-37.5000,-0.00009
22.5000,-32.5000,-0.00004
22.5000,-27.5000,0.00001
22.5000,-22.5000,0.00001
22.5000,-17.5000,0.00000
22.5000,-12.5000,-0.00000
22.5000,-7.5000,-0.00000
22.5000,-2.5000,-0.00000
22.5000,2.5000,0.00000
22.5000,7.5000,-0.00000
22.5000,12.5000,0.00000
22.5000,17.5000,-0.00000
22.5000,22.5000,-0.00000
22.5000,27.5000,-0.00003
22.5000,32.5000,-0.00016
22.5000,37.5000,-0.00024
22.5000,42.5000,-0.00011
22.5000,47.5000,-0.00000
22.5000,52.5000,-0.00000
22.5000,57.5000,0.00000
22.5000,62.5000,-0.00000
22.5000,67.5000,-0.00000
22.5000,72.5000,-0.00000
22.5000,77.5000,0.00000
22.5000,82.5000,-0.00000
22.5000,87.5000,-0.00000
27.5000,-87.5000,0.00000
27.5000,-82.5000,-0.00000
27.5000,-77.5000,0.00000
27.5000,-72.5000,-0.00000
27.5000,-67.5000,0.00000
