Longitude,Latitude,Data
2.5000,-87.5000,0.00000
2.5000,-82.5000,0.00000
2.5000,-77.5000,-0.00000
2.5000,-72.5000,0.00000
2.5000,-67.5000,-0.00000
2.5000,-62.5000,-0.00000
2.5000,-57.5000,-0.00000
2.5000,-52.5000,-0.00000
2.5000,-47.5000,-0.00001
2.5000,-42.5000,0.00002
2.5000,-37.5000,0.00004
2.5000,-32.5000,0.00003
2.5000,-27.5000,0.00004
2.5000,-22.5000,0.00010
2.5000,-17.5000,-0.00064
2.5000,-12.5000,-0.00172
2.5000,-7.5000,-0.00129
2.5000,-2.5000,-0.00025
2.5000,2.5000,0.00002
2.5000,7.5000,-0.00000
2.5000,12.5000,-0.00000
2.5000,17.5000,0.00000
2.5000,22.5000,-0.00000
2.5000,27.5000,-0.00000
2.5000,32.5000,-0.00009
2.5000,37.5000,-0.00021
2.5000,42.5000,-0.00014
2.5000,47.5000,-0.00003
2.5000,52.5000,0.00000
2.5000,57.5000,-0.00000
2.5000,62.5000,-0.00000
2.5000,67.5000,-0.00000
2.5000,72.5000,-0.00000
2.5000,77.5000,0.00000
2.5000,82.5000,0.00000
2.5000,87.5000,0.00000
7.5000,-87.5000,0.00000
7.5000,-82.5000,-0.00000
7.5000,-77.5000,0.00000
7.5000,-72.5000,-0.00000
7.5000,-67.5000,-0.00000
7.5000,-62.5000,-0.00000
7.5000,-57.5000,-0.00000
7.5000,-52.5000,-0.00001
7.5000,-47.5000,-0.00001
7.5000,-42.5000,0.00005
7.5000,-37.5000,0.00011
7.5000,-32.5000,0.00007
7.5000,-27.5000,0.00007
7.5000,-22.5000,0.00005
7.5000,-17.5000,-0.00090
7.5000,-12.5000,-0.00195
7.5000,-7.5000,-0.00126
7.5000,-2.5000,-0.00019
7.5000,2.5000,0.00001
7.5000,7.5000,-0.00000
7.5000,12.5000,-0.00000
7.5000,17.5000,0.00000
7.5000,22.5000,-0.00000
7.5000,27.5000,0.00007
7.5000,32.5000,0.00014
7.5000,37.5000,0.00007
7.5000,42.5000,-0.00001
7.5000,47.5000,-0.00001
7.5000,52.5000,0.00000
7.5000,57.5000,-0.00000
7.5000,62.5000,-0.00000
7.5000,67.5000,-0.00000
7.5000,72.5000,-0.00000
7.5000,77.5000,-0.00000
7.5000,82.5000,0.00000
7.5000,87.5000,0.00000
12.5000,-87.5000,0.00000
12.5000,-82.5000,0.00000
12.5000,-77.5000,0.00000
12.5000,-72.5000,0.00000
12.5000,-67.5000,0.00000
12.5000,-62.5000,0.00000
12.5000,-57.5000,-0.00000
12.5000,-52.5000,-0.00001
12.5000,-47.5000,0.00001
12.5000,-42.5000,0.00012
12.5000,-37.5000,0.00021
12.5000,-32.5000,0.00011
12.5000,-27.5000,0.00006
12.5000,-22.5000,0.00003
12.5000,-17.5000,-0.00029
12.5000,-12.5000,-0.00050
12.5000,-7.5000,-0.00025
12.5000,-2.5000,-0.00002
12.5000,2.5000,0.00000
12.5000,7.5000,0.00000
12.5000,12.5000,0.00000
12.5000,17.5000,0.00000
12.5000,22.5000,0.00001
12.5000,27.5000,0.00037
12.5000,32.5000,0.00068
12.5000,37.5000,0.00032
12.5000,42.5000,0.00005
12.5000,47.5000,0.00004
12.5000,52.5000,0.00000
12.5000,57.5000,0.00000
12.5000,62.5000,-0.00000
12.5000,67.5000,-0.00000
12.5000,72.5000,-0.00001
12.5000,77.5000,-0.00000
12.5000,82.5000,0.00000
12.5000,87.5000,0.00000
17.5000,-87.5000,0.00000
17.5000,-82.5000,0.00000
17.5000,-77.5000,0.00000
17.5000,-72.5000,0.00000
17.5000,-67.5000,0.00000
17.5000,-62.5000,0.00000
17.5000,-57.5000,-0.00000
17.5000,-52.5000,0.00000
17.5000,-47.5000,0.00003
17.5000,-42.5000,0.00005
17.5000,-37.5000,0.00002
17.5000,-32.5000,-0.00001
17.5000,-27.5000,0.00001
17.5000,-22.5000,0.00002
17.5000,-17.5000,0.00008
17.5000,-12.5000,0.00017
17.5000,-7.5000,0.00012
17.5000,-2.5000,0.00002
17.5000,2.5000,0.00000
17.5000,7.5000,0.00000
17.5000,12.5000,0.00000
17.5000,17.5000,0.00000
17.5000,22.5000,0.00002
17.5000,27.5000,0.00052
17.5000,32.5000,0.00089
17.5000,37.5000,0.00033
17.5000,42.5000,0.00001
17.5000,47.5000,0.00006
17.5000,52.5000,0.00000
17.5000,57.5000,0.00000
17.5000,62.5000,0.00000
17.5000,67.5000,-0.00000
17.5000,72.5000,-0.00001
17.5000,77.5000,-0.00000
17.5000,82.5000,0.00000
17.5000,87.5000,0.00000
22.5000,-87.5000,0.00000
22.5000,-82.5000,0.00000
22.5000,-77.5000,0.00000
22.5000,-72.5000,0.00000
22.5000,-67.5000,0.00000
22.5000,-62.5000,-0.00000
22.5000,-57.5000,-0.00000
22.5000,-52.5000,0.00000
22.5000,-47.5000,0.00001
22.5000,-42.5000,-0.00016
22.5000,-37.5000,-0.00037
22.5000,-32.5000,-0.00023
22.5000,-27.5000,-0.00003
22.5000,-22.5000,0.00001
22.5000,-17.5000,0.00000
22.5000,-12.5000,0.00000
22.5000,-7.5000,0.00000
22.5000,-2.5000,0.00000
22.5000,2.5000,0.00000
22.5000,7.5000,0.00000
22.5000,12.5000,0.00000
22.5000,17.5000,0.00000
22.5000,22.5000,0.00001
22.5000,27.5000,0.00020
22.5000,32.5000,0.00036
22.5000,37.5000,0.00019
22.5000,42.5000,0.00005
22.5000,47.5000,0.00003
22.5000,52.5000,0.00000
22.5000,57.5000,0.00000
22.5000,62.5000,0.00000
22.5000,67.5000,-0.00000
22.5000,72.5000,-0.00000
22.5000,77.5000,-0.00000
22.5000,82.5000,0.00000
22.5000,87.5000,0.00000
27.5000,-87.5000,0.00000
27.5000,-82.5000,0.00000
27.5000,-77.5000,0.00000
27.5000,-72.5000,0.00000
27.5000,-67.5000,0.00000
27.5000,-62.5000,0.00000
